SiteID;nota_temperatura;nota_precipitazione
2;NA;NA
28;NA;NA
39;NA;NA
51;NA;NA
59;NA;NA
61;NA;NA
68;NA;NA
99;NA;NA
1;NA;NA
3;NA;NA
4;NA;NA
5;NA;NA
7;NA;NA
9;NA;NA
10;NA;NA
11;NA;NA
12;NA;NA
13;NA;NA
14;NA;NA
15;NA;NA
16;NA;NA
17;NA;NA
18;NA;NA
19;NA;NA
20;NA;NA
21;NA;NA
22;NA;NA
23;NA;NA
24;NA;NA
25;NA;NA
26;Allunga la serie storica di precipitazione (Gressoney-L.T., G004 - 102) inviata dal Centro Funzionale;NA
27;NA;NA
29;NA;NA
30;NA;NA
31;NA;NA
32;NA;NA
33;NA;NA
34;NA;NA
35;NA;NA
37;NA;NA
40;NA;NA
41;NA;NA
42;NA;NA
44;NA;NA
45;NA;NA
46;NA;NA
47;NA;NA
48;NA;NA
49;NA;NA
50;NA;NA
52;NA;NA
54;NA;NA
55;NA;NA
56;NA;NA
57;NA;NA
58;NA;NA
60;NA;NA
62;NA;NA
63;NA;NA
64;NA;NA
65;NA;NA
66;NA;NA
67;NA;NA
77;NA;NA
78;NA;NA
79;NA;NA
80;NA;NA
81;NA;NA
82;NA;NA
83;Allunga la serie storica di precipitazione (Rh?mes-N.D., G002 - 100) inviata dal Centro Funzionale. Non esiste serie di temperatura.;NA
84;NA;NA
85;NA;NA
88;NA;NA
89;NA;NA
96;NA;NA
97;NA;NA
98;Allunga la serie storica di precipitazione (Aosta\S.Christophe, G001 - 1999) e di temperatura tmax e tmin (Saint-Christophe aeroporto, G005 - 103) inviata dal Centro Funzionale;NA
101;Serie storiche inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale
104;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale
105;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale
106;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale
