SiteID;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale
3;21520;S.Castrese;NA;NA
5;NA;NA;NA;NA
6;NA;NA;NA;NA
7;NA;NA;NA;NA
8;NA;NA;NA;NA
9;12243;Grazzanise;12242;Grazzanise
10;12247;Persano Sele;12246;Persano Sele
11;12251;Benevento;12250;Benevento
12;12255;Montella;12254;Montella
13;12263;Paduli;12262;Paduli
15;12273;Castelluccio;12272;Castelluccio
16;12276;Montemarano;12275;Montemarano
17;12267;Auletta;12266;Auletta
18;NA;NA;NA;NA
19;NA;NA;NA;NA
20;NA;NA;NA;NA
21;36570;Albanella;NA;NA
22;12286;Senerchia;12287;Senerchia
23;12290;S.Pietro;12291;S.Pietro
24;12294;S.Mauro;12295;S.Mauro
25;12298;Ponte Camerelle;NA;NA
26;NA;NA;NA;NA
27;NA;NA;NA;NA
28;NA;NA;NA;NA
30;12309;Bellosguardo;NA;NA
31;15276;Sarno;NA;NA
32;15282;Quindici;NA;NA
33;15279;Cetronico;NA;NA
34;15280;Piani di Prato;NA;NA
35;15285;Torriello;15286;Torriello
36;18385;Alife;18387;Alife
37;17272;S.Angelo d'Alife;17273;S.Angelo d'Alife
38;18393;Sorgenti Grassano;18395;Sorgenti Grassano
39;18398;Bagnoli Irpino;18401;Bagnoli Irpino
41;18408;Caposele;18411;Caposele
42;17406;Mercato S.Severino;17409;Mercato S.Severino
43;17266;Pompei;17267;Pompei
44;17411;Battipaglia;17417;Battipaglia
45;17255;Contursi Meteo;17256;Contursi Meteo
46;17259;Alvignano;17260;Alvignano
47;17262;Boiara;17263;Boiara
48;18770;S.Felice a Cancello;NA;NA
49;17399;Melizzano;17402;Melizzano
50;18929;Torre del Greco;NA;NA
51;18899;S.Agata dei Goti;NA;NA
52;18947;Caiazzo;NA;NA
53;18889;Liberi;NA;NA
54;18945;Caserta Vecchia;NA;NA
55;18953;Pozzuoli;NA;NA
56;18891;Napoli Camaldoli;NA;NA
57;18949;Napoli Capodimonte;NA;NA
58;18939;Forino;NA;NA
59;18921;Massa Lubrense;NA;NA
60;18917;Cava dei Tirreni;NA;NA
61;18925;Pellezzano;NA;NA
62;18957;Salerno Genio Civile;NA;NA
63;18919;Capri;NA;NA
64;18905;S.Martino Valle Caudina;NA;NA
65;18897;Cervinara;NA;NA
66;18901;Ottaviano;NA;NA
67;18903;Visciano;NA;NA
68;18935;Pimonte;NA;NA
69;18937;Mercogliano;NA;NA
70;18927;Lettere;NA;NA
71;18923;Corbara-S.Egidio M.;NA;NA
72;18955;Ischia - Monte Epomeo;NA;NA
73;18895;Arienzo;NA;NA
74;18964;Giffoni Valle Piana;NA;NA
75;18931;Monteforte Irpino;NA;NA
76;18887;Pietramelara;NA;NA
77;18893;Rotondi;NA;NA
78;NA;NA;NA;NA
79;18933;Solofra;NA;NA
80;NA;NA;NA;NA
81;NA;NA;NA;NA
82;NA;NA;NA;NA
83;21452;Quattroventi;NA;NA
85;20912;Ponte Valentino;NA;NA
90;20881;Castel Volturno;NA;NA
91;NA;NA;NA;NA
92;21521;Cologna;NA;NA
93;21530;Pontecagnano;NA;NA
94;NA;NA;NA;NA
95;21756;Ravello;21757;Ravello
98;21792;Roccamonfina;22717;Roccamonfina
99;20897;Colle Sannita;20898;Colle Sannita
100;21785;Castelfranco in Miscano;21786;Castelfranco in Miscano
101;21770;Ariano Irpino;21771;Ariano Irpino
102;20901;Luogosano;20902;Luogosano
103;20905;Pietrastornina;20906;Pietrastornina
104;21778;Castiglione del Genovesi;NA;NA
106;21774;Baronissi;NA;NA
108;21742;Altavilla Irpina;21743;Altavilla Irpina
109;20909;Avella;NA;NA
110;20889;Avellino-Genio Civile;20890;Avellino-Genio Civile
111;21746;Serino;21747;Serino
112;20893;Cusano Mutri;20894;Cusano Mutri
113;21760;Ercolano;21761;Ercolano
114;21739;Sorrento;NA;NA
115;21767;Agerola;NA;NA
116;21789;Gragnano;NA;NA
117;21750;Maiori;NA;NA
118;21753;Amalfi;NA;NA
119;21764;Cetara;NA;NA
120;21735;Tramonti;21736;Tramonti
121;21781;Pontelatone;21782;Pontelatone
122;37283;Rocchetta;37284;Rocchetta
123;37291;Montecorvino Rovella;37292;Montecorvino Rovella
124;36896;Roccadaspide;36897;Roccadaspide
125;40111;Morigerati;40112;Morigerati
126;36905;Moiano;36906;Moiano
127;37717;Positano;37718;Positano
128;38977;Pizzolano;38978;Pizzolano
129;36908;Sala Consilina;36909;Sala Consilina
130;37294;Vallo della Lucania;37295;Vallo della Lucania
131;37261;Palma Campania;37262;Palma Campania
132;36580;Capaccio;36581;Capaccio
133;37714;Morcone;37715;Morcone
134;36899;S.Maria a Vico;36900;S.Maria a Vico
135;37720;Letino;37721;Letino
136;36576;Cassano Irpino;36577;Cassano Irpino
137;36924;Rocca d'Evandro;NA;NA
138;37384;Omignano Scalo;NA;NA
139;40114;Alfano;NA;NA
140;36881;Mugnano del Cardinale;NA;NA
141;37530;Melito Irpino;NA;NA
142;36914;Pago Veiano;NA;NA
143;37534;Capua;NA;NA
144;36891;Sicignano;NA;NA
145;36887;S.Marzano Sarno;NA;NA
146;37378;Sala Consilina Tanagro;NA;NA
147;37286;Morigerati Bussento;NA;NA
148;36572;Albanella Calore;NA;NA
149;36911;Costa dei Corvi;36912;Costa dei Corvi
150;36920;S.Agata dei Goti Isclero;NA;NA
151;37374;Ailano;NA;NA
152;37539;Cicciano;NA;NA
153;36428;Agerola METEO-1;36423;Agerola METEO-1
154;36478;Ariano Irpino METEO-1;36473;Ariano Irpino METEO-1
155;38667;S.Marco Evangelista METEO-1;38662;S.Marco Evangelista METEO-1
156;36453;Benevento METEO-1;36448;Benevento METEO-1
157;38784;Rocca d'Evandro METEO-1;38786;Rocca d'Evandro METEO-1
158;36309;Cellole METEO-1;36303;Cellole METEO-1
159;36339;Conza della Campania METEO-1;36333;Conza della Campania METEO-1
160;37448;Montella METEO-1;37443;Montella METEO-1
161;36938;Montesano Marcellana METEO-1;36932;Montesano Marcellana METEO-1
162;36128;Nisida METEO-1;36127;Nisida METEO-1
163;36545;Postiglione METEO-1;36546;Postiglione METEO-1
164;36403;Salerno METEO-1;36398;Salerno METEO-1
165;40341;Lago Patria METEO-1;40336;Lago Patria METEO-1
166;36246;S.Bartolomeo in Galdo METEO-1;36240;S.Bartolomeo in Galdo METEO-1
167;38595;S.Salvatore Telesino METEO-1;38590;S.Salvatore Telesino METEO-1
168;36275;Torre Orsaia METEO-1;36269;Torre Orsaia METEO-1
169;33430;Ischia - Forio;NA;NA
170;45079;Scala - Pontone;NA;NA
171;NA;NA;NA;NA
172;NA;NA;NA;NA
173;NA;NA;NA;NA
174;NA;NA;NA;NA
175;NA;NA;NA;NA
176;NA;NA;NA;NA
177;NA;NA;NA;NA
178;NA;NA;NA;NA
179;38545;S.Mauro la Bruca;38546;S.Mauro La Bruca
180;38548;Torraca;38549;Torraca
181;38528;Rofrano;NA;NA
183;38530;Torchiara;38531;Torchiara
184;38496;Sanza;38497;Sanza
185;38542;Montesano Terme;38543;Montesano Terme
187;38533;Gioi Cilento;38534;Gioi Cilento
188;38443;Bracigliano;NA;NA
189;38485;Quindici Torre Vecchia;NA;NA
190;38445;Sarno (Acqued. Campano);NA;NA
