SiteID;SiteName_CentroFunzionale
239;Lunghezza
240;Roma Macao
243;Aniene a Ponte Lucano
249;Marano Equo
253;Subiaco
254;Rio Galeria
258;Aniene a Centrale Acquoria
260;Castello Vici
261;Fosso Cremera a Labaro
262;Fosso Corese a Passo Corese
263;Nerola
264;La Storta
265;Pratolungo
267;Flaminio
268;Fondi
269;Borgo S Maria
270;Maccarese
271;Fiora a Pitigliano
272;Fiora a Montalto di Castro
273;Tarquinia
274;Montefiascone
275;Allumiere
276;Civitavecchia
278;Bracciano
279;Roma Nord
280;Abbadia S Salvatore
281;Leonessa
282;Posticciola
283;Poggio Mirteto
285;Ardea
288;Fossanova
289;Latina
291;Ottavia
292;Capannacce
293;Acqua Acetosa
294;Monte Mario
307;Roma Est
309;Cassiodoro
313;Eleniano
315;Aurelio
316;Regillo
317;Ostiense
318;Fregene
320;Aniene a Ponte Mammolo
321;Casilino
322;Eur
323;Ponte Galeria Acea
324;Castel Cellesi
325;Roma Sud
326;Isola Sacra
327;Acilia
328;Falcognana
329;Barbarano
330;Rocca Respampani
333;Collegio Romano
334;Frascati
340;Ostia
341;Cerveteri
345;Ponte Salario
348;Lugnano
351;Filettino
352;Lenola
353;Roma Bufalotta
354;Rosolino Pilo
357;Baccano
358;Fiano Romano
359;Formello
360;Massimina
361;Montelibretti
362;Moricone
363;Palombara Sabina
364;Roma EUR
365;Toma Flaminio
368;Posta
369;Rocca di Papa
370;Borgorose
371;Cittareale
372;Collalto Sabino
373;Micigliano
374;Anzio
375;Roma Monte Mario
376;Arsoli
377;Bagnoregio
378;Cittaducale
379;Guidonia
380;Licenza
381;Monterotondo ETG
382;Morlupo
383;Palestrina
384;Riano
388;Monte Terminillo
419;Osteria di Castro
420;Borgo Montello
430;Canino rlazio
432;Paglia a Proceno
433;Ronciglione rlazio
434;Ostia Pantanello
435;Aprilia
436;Lago di Nemi
437;Ponte Ferraioli
438;Priverno
439;Norma
441;Rio Cassano
442;Cisterna di Latina
443;Cori
444;Giuliano di Roma
446;Ladispoli rlazio
450;Monte Romano
451;Maccarese rlazio
453;Bolsena
457;Lago di Albano
458;Acquapendente
460;Nepi
467;Lago di Corbara
