SiteID;SiteName.serieRecente;SiteNameAnnale;localita;comune;provincia
5;Camponocecchio;Camponocecchio;Camponocecchio;Genga;AN
7;Montepolesco;Montepolesco;Montepolesco;Osimo;AN
9;San Severino Marche;San Severino Marche;San Severino Marche;San Severino Marche;MC
12;Morrovalle;Morrovalle;Villa San Filippo;Monte San Giusto;MC
14;S. Maria in Arzilla;S. Maria in Arzilla;Santa Maria in Arzilla;Pesaro;PU
15;Ca' Mazzasette;Ca' Mazzasette;Ca' Mazzasette;Montecalvo in Foglia;PU
16;Montelabbate;Montelabbate;Montecchio;Montelabbate;PU
17;Calcinelli;Calcinelli;Lucrezia;Cartoceto;PU
18;San Michele al Fiume;San Michele al Fiume;San Michele al Fiume;Mondavio;PU
19;Servigliano;Servigliano;Piane di Falerone;Servigliano;FM
20;S. Maria Goretti;S. Maria Goretti;Santa Maria Goretti;Offida;AP
22;Ete Caldarette;Ete Caldarette;Ete Caldarette;Fermo;FM
25;Ascoli Piceno;Ascoli Piceno;Brecciarolo;Ascoli Piceno;AP
26;Bettolelle;Bettolelle;Bettolelle;Senigallia;AN
29;Pesaro;Pesaro;Pesaro;Pesaro;PU
30;Monte Grimano Terme;Monte Grimano Terme;Valle di Teva;Monte Grimano Terme;PU
31;Sassofeltrio;Sassofeltrio;Fratte;Sassofeltrio;PU
101;Sant'Angelo in Vado;Sant'Angelo in Vado;S. Angelo in Vado;Sant'Angelo in Vado;PU
102;Sassocorvaro;Sassocorvaro;Bronzo;Sassocorvaro;PU
103;Petriano;Petriano;Gallo;Petriano;PU
104;Urbino;Urbino;Urbino;Urbino;PU
106;Acqualagna;Acqualagna;Ponte di Ferro;Acqualagna;PU
107;Apecchio;Apecchio;Molino Mancino;Apecchio;PU
108;Pergola;Pergola;Pergola;Pergola;PU
109;Fonte Avellana;Fonte Avellana;Eremo di Fonte Avellana;Serra Sant'Abbondio;PU
110;Jesi;Jesi;Jesi;Jesi;AN
111;Agugliano;Agugliano;Agugliano;Agugliano;AN
112;Villa Fastiggi;Villa Fastiggi;Villa Fastiggi;Pesaro;PU
116;Osimo;Osimo;Passatempo;Osimo;AN
117;Filottrano;Filottrano;Filottrano;Filottrano;AN
118;Cupramontana;Cupramontana;Cupramontana;Cupramontana;AN
119;Montecarotto;Montecarotto;Colle;Montecarotto;AN
121;Marotta Cesano;Marotta Cesano;Cesano di Senigallia;Senigallia;AN
123;Arcevia;Arcevia;Arcevia;Arcevia;AN
124;Loro Piceno;Loro Piceno;Grazia Fiastra;Loro Piceno;MC
128;Recanati;Recanati;Recanati;Recanati;MC
130;Camerino;Camerino;Camerino;Camerino;MC
131;Pie' del Sasso;Pie' del Sasso;Pantaneto;Monte Cavallo;MC
133;Umito;Umito;Umito;Acquasanta Terme;AP
134;Capodacqua;Capodacqua;Capodacqua;Arquata del Tronto;AP
136;Mozzano;Mozzano;Mozzano;Ascoli Piceno;AP
137;Spinetoli;Spinetoli;Spinetoli;Spinetoli;AP
139;Rotella;Rotella;Rotella;Rotella;AP
140;San Benedetto;San Benedetto;S.Benedetto del Tronto;San Benedetto del Tronto;AP
142;Montemonaco;Montemonaco;Montemonaco;Montemonaco;AP
143;Force;Force;Force;Force;AP
146;Porto Sant' Elpidio;Porto Sant' Elpidio;Porto S.Elpidio;Porto Sant'Elpidio;FM
147;Grottazzolina;Grottazzolina;Grottazzolina;Grottazzolina;FM
148;Fermo;Fermo;Fermo;Fermo;FM
149;Ancona Regione;Ancona Regione;Ancona;Ancona;AN
150;Ussita;Ussita;Ussita;Ussita;MC
151;Fossombrone;Fossombrone;Fossombrone;Fossombrone;PU
152;Fano;Fano;Metaurilia;Fano;PU
153;Grottammare;Grottammare;Grottammare;Grottammare;AP
154;Civitanova Marche;Civitanova Marche;Civitanova Marche;Civitanova Marche;MC
160;Meteomarina CADSEALAND;Meteomarina CADSEALAND;Porto Recanati;Porto Recanati;MC
162;Osimo Monteragolo;Osimo Monteragolo;Monteragolo;Osimo;AN
165;Rostighello;Rostighello;Rostighello;Recanati;MC
166;Svarchi;Svarchi;Svarchi;Numana;AN
171;Endesa;Endesa;Visso;Visso;MC
172;Ponte Tavola;Ponte Tavola;Ponte Tavola;Castelsantangelo sul Nera;MC
174;Montecchio;Montecchio;Montecchio;Sant'Angelo in Lizzola;PU
175;Monte Paganuccio;Monte Paganuccio;Monte Paganuccio;Cagli;PU
176;Foresta della Cesana;Foresta della Cesana;Cesane Foresta;Fossombrone;PU
180;Fiumesino;Fiumesino;Fiumesino;Falconara Marittima;AN
181;Marina di Montemarciano;Marina di Montemarciano;Marina di Montemarciano;Montemarciano;AN
201;Bolognola;Bolognola;Pintura;Bolognola;MC
202;Sibilla;Sibilla;Monte Sibilla;Montemonaco;AP
203;Isola San Biagio;Isola San Biagio;Isola San Biagio;Montefortino;FM
204;Sarnano;Sarnano;Sassotetto;Sarnano;MC
205;Pizzo Tre Vescovi;Pizzo Tre Vescovi;Forcella del Fargno;Ussita;MC
206;Monte Prata;Monte Prata;Monte Prata;Castelsantangelo sul Nera;MC
207;Monte Bove Sud;Monte Bove Sud;Monte Bove;Ussita;MC
401;Montefano;Montefano;Montefano;Montefano;MC
402;Appignano;Appignano;Appignano;Appignano del Tronto;AP
403;Serralta;Serralta;Serralta;San Severino Marche;MC
404;Villa Potenza;Villa Potenza;Villa Potenza;Macerata;MC
501;Scheggia;Scheggia;Scheggia;Scheggia e Pascelupo;PG
502;Campodiegoli;Campodiegoli;Campodiegoli;Fabriano;AN
503;Esanatoglia convento;Esanatoglia convento;Esanatoglia;Esanatoglia;MC
504;San Giovanni;San Giovanni;San Giovanni;Fabriano;AN
505;Colleponi;Colleponi;Colleponi;Genga;AN
506;Moie;Moie;Moie;Maiolati Spontini;AN
602;Sorti;Sorti;Bivio d'Agolla;Sefro;MC
603;Spindoli;Spindoli;Spindoli;Fiuminata;MC
604;Fiume di Fiastra;Fiume di Fiastra;Trebbio;Fiastra;MC
605;Fabriano;Fabriano;Fabriano;Fabriano;AN
606;Senigallia;Senigallia;Senigallia;Senigallia;AN
607;Santa Maria di Pieca;Santa Maria di Pieca;Pian di Pieca;San Ginesio;MC
608;Cingoli;Cingoli;Pian De' Conti;Cingoli;MC
609;Lornano;Lornano;Macerata;Macerata;MC
610;Loreto;Loreto;Via Lavanderia;Loreto;AN
611;Sorti;Sorti;Sorti;Sefro;MC
612;Serravalle del Chienti;Serravalle del Chienti;Taverne;Serravalle di Chienti;MC
613;Baraccola;Baraccola;Passo Varano - Centro Funzionale;Ancona;AN
614;Tavoleto;Tavoleto;Via Gurka;Tavoleto;PU
615;San Lorenzo in Campo;San Lorenzo in Campo;Via Zara;San Lorenzo in Campo;PU
616;Apiro;Apiro;Capoluogo;Poggio San Vicino;MC
617;Tolentino;Tolentino;Via Caduti di Nassiriya;Tolentino;MC
618;Barbara;Barbara;Via XXV Aprile;Barbara;AN
620;Acquasanta Terme;Acquasanta Terme;Via Salaria - Parco Rio Acquasanta;Acquasanta Terme;AP
621;Piagge;Piagge; ;Piagge;PU
701;Ancona Torrette;Ancona Torrette;Torrette di Ancona;Ancona;AN
702;Carpegna;Carpegna; ;Carpegna;PU
703;Amatrice;Amatrice; ;Amatrice;RI
704;Capannina Poggio San Vicino;Capannina Poggio San Vicino; ;Poggio San Vicino;MC
705;Corinaldo;Corinaldo; ;Corinaldo;AN
706;Urbania;Urbania; ;Urbania;PU
707;Cantiano;Cantiano; ;Cantiano;PU
708;Diga di Carassai;Diga di Carassai; ;Carassai;AP
711;Acquasanta;Acquasanta; ;Acquasanta Terme;AP
712;Pianello;Pianello;Pianello;Cagli;PU
713;Pioraco;Pioraco; ;Pioraco;MC
