SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
2;100;TERAMO;13.71722222;42.65472222;261;1;OD:100;NA;13;NA
102;1010;SCAFA;14.01416667;42.26583333;126;1;OD:1010;NA;13;NA
203;1020;ROCCAMORICE;14.019;42.21666667;478;1;OD:1020;NA;13;NA
404;1040;ALANNO;13.98527778;42.29555556;151;1;OD:1040;NA;13;NA
505;1050;MANOPPELLO;14.07138889;42.24972222;399;1;OD:1050;NA;13;NA
606;1060;CHIETI;14.18305556;42.37694444;237;1;OD:1060;NA;13;NA
657;1065;Chieti VV.FF.;14.19277778;42.36138889;136;1;OD:1065;NA;13;NA
708;1070;CASALINCONTRADA;14.13638889;42.29138889;255;1;OD:1070;NA;13;NA
809;1080;BRITTOLI;13.85233333;42.31666667;636;1;OD:1080;NA;13;NA
1011;1100;VILLA CELIERA;13.87;42.38444444;696;1;OD:1100;NA;13;NA
1112;1110;CATIGNANO;13.94527778;42.34611111;325;1;OD:1110;NA;13;NA
1137;1120;CEPAGATTI;14.07;42.36722222;145;1;OD:1120;NA;13;NA
1187;1125;VILLA REJA - CEPAGATTI;14.11194444;42.34194444;46;1;OD:1125;NA;13;NA
1338;1140;SPOLTORE;14.15055556;42.45611111;86;1;OD:1140;NA;13;NA
1489;1155;PESCARA COLLI;14.19444444;42.46888889;25;1;OD:1155;NA;13;NA
1540;1160;PESCARA;14.2425;42.44972222;5;1;OD:1160;NA;13;NA
1641;1170;RIVISONDOLI - PIANO CINQUEMIGLIA;14.04083333;41.86333333;1246;1;OD:1170;NA;13;NA
1707;1180;PESCOCOSTANZO;14.05888889;41.88805556;1420;1;OD:1180;NA;13;NA
1808;120;CAMPLI;13.70944444;42.75305556;325;1;OD:120;NA;13;NA
1909;1220;PASSO LANCIANO;14.09944444;42.19;1368;1;OD:1220;NA;13;NA
1931;1230;PRETORO;14.14222222;42.22194444;466;1;OD:1230;NA;13;NA
1932;1240;GUARDIAGRELE;14.21444444;42.18722222;535;1;OD:1240;NA;13;NA
1933;1245;FILETTO;14.25833333;42.20972222;404;1;OD:1245;NA;13;NA
1934;1250;SEMIVICOLI;14.219;42.28333333;269;1;OD:1250;NA;13;NA
1935;1260;FARA F. PETRI;14.17333333;42.24638889;300;1;OD:1260;NA;13;NA
1936;1290;MIGLIANICO;14.26194444;42.32166667;141;1;OD:1290;NA;13;NA
1937;130;BELLANTE;13.80027778;42.74444444;296;1;OD:130;NA;13;NA
1938;1300;ORTONA;14.405;42.34972222;64;1;OD:1300;NA;13;NA
1939;1310;ORSOGNA;14.27027778;42.22527778;378;1;OD:1310;NA;13;NA
1940;1330;LANCIANO;14.38444444;42.22583333;276;1;OD:1330;NA;13;NA
1941;1335;COLLE CAPUANO;14.43666667;42.2825;134;1;OD:1335;NA;13;NA
1942;1340;S.VITO CHIETINO;14.43575;42.31444444;41;1;OD:1340;NA;13;NA
1943;1345;ROCCA SAN GIOVANNI;14.475;42.28666667;29;1;OD:1345;NA;13;NA
1944;1350;PESCASSEROLI;13.79222222;41.80944444;1259;1;OD:1350;NA;13;NA
1945;1370;CIVITELLA ALFEDENA;13.93566667;41.76666667;1073;1;OD:1370;NA;13;NA
1946;1380;BARREA;13.98777778;41.76027778;1027;1;OD:1380;NA;13;NA
1949;1410;MONTENERO  VALCOCCHIARA;14.06902778;41.71666667;972;1;OD:1410;NA;13;NA
1950;1420;CASTEL DI SANGRO;14.10805556;41.78111111;803;1;OD:1420;NA;13;NA
1951;1430;ROCCARASO;14.08361111;41.85194444;1261;1;OD:1430;NA;13;NA
1952;1460;ATELETA;14.20111111;41.85416667;756;1;OD:1460;NA;13;NA
1953;1470;CAPRACOTTA;14.269;41.83944444;1401;1;OD:1470;NA;13;NA
1954;1490;PIZZOFERRATO;14.23569444;41.92277778;1161;1;OD:1490;NA;13;NA
1955;150;ROSETO DEGLI ABRUZZI;13.98388889;42.69444444;64;1;OD:150;NA;13;NA
1956;1500;PESCOPENNATARO;14.28575;41.87777778;1052;1;OD:1500;NA;13;NA
1957;1510;ROSELLO;14.3475;41.89916667;963;1;OD:1510;NA;13;NA
1958;1520;MONTENERODOMO;14.24861111;41.99;994;1;OD:1520;NA;13;NA
1959;1540;VILLA S.MARIA;14.35555556;41.95027778;311;1;OD:1540;NA;13;NA
1960;1550;BOMBA DIGA;14.3505;42.01358333;249;1;OD:1550;NA;13;NA
1961;1560;BOMBA;14.36833333;42.03444444;519;1;OD:1560;NA;13;NA
1962;1570;PALENA;14.1375;41.98388889;757;1;OD:1570;NA;13;NA
1963;1580;LAMA DEI PELIGNI;14.18527778;42.03972222;596;1;OD:1580;NA;13;NA
1964;1590;FARA S.MARTINO;14.21916667;42.09888889;392;1;OD:1590;NA;13;NA
1965;1600;GESSOPALENA;14.27416667;42.05055556;617;1;OD:1600;NA;13;NA
1966;1610;CASOLI DIGA;14.25805556;42.09555556;254;1;OD:1610;NA;13;NA
1967;1620;PENNAPIEDIMONTE;14.19472222;42.15194444;629;1;OD:1620;NA;13;NA
1968;1625;CASOLI - PIANO LA ROMA;14.26027778;42.13166667;286;1;OD:1625;NA;13;NA
1969;1630;CASOLI;14.29;42.11527778;374;1;OD:1630;NA;13;NA
1971;1650;PAGLIETA;14.48583333;42.175;32;1;OD:1650;NA;13;NA
1972;1660;TORINO DI SANGRO;14.54416667;42.23333333;0;1;OD:1660;NA;13;NA
1973;1670;ATESSA;14.45233333;42.06666667;368;1;OD:1670;NA;13;NA
1975;1680;MONTAZZOLI;14.42805556;41.94222222;817;1;OD:1680;NA;13;NA
1977;1690;GISSI;14.55233333;42.01666667;313;1;OD:1690;NA;13;NA
1978;170;CANTONIERA ORTOLANO;13.419;42.51666667;1095;1;OD:170;NA;13;NA
1979;1700;SCERNI;14.63;42.11861111;108;1;OD:1700;NA;13;NA
1980;1710;CUPELLO;14.65;42.08222222;237;1;OD:1710;NA;13;NA
1982;1740;VASTO;14.69833333;42.09972222;204;1;OD:1740;NA;13;NA
1983;1750;S.SALVO;14.73566667;42.0425;51;1;OD:1750;NA;13;NA
1984;1760;VASTOGIRARDI;14.25233333;41.77388889;1131;1;OD:1760;NA;13;NA
1985;1770;CAROVILLI;14.28555556;41.71277778;888;1;OD:1770;NA;13;NA
1986;1780;CHIAUCI;14.38566667;41.67777778;797;1;OD:1780;NA;13;NA
1987;1790;FROSOLONE;14.43566667;41.61611111;1005;1;OD:1790;NA;13;NA
1989;1800;BAGNOLI DEL TRIGNO;14.45233333;41.7;603;1;OD:1800;NA;13;NA
1990;1810;AGNONE;14.369;41.80777778;738;1;OD:1810;NA;13;NA
1991;1820;PIETRABBONDANTE;14.38566667;41.75;872;1;OD:1820;NA;13;NA
1993;1840;CASTIGLIONE M.MARINO;14.45611111;41.86916667;967;1;OD:1840;NA;13;NA
1994;1850;TRIVENTO;14.55233333;41.8;317;1;OD:1850;NA;13;NA
1995;1860;TORREBRUNA;14.54083333;41.86861111;900;1;OD:1860;NA;13;NA
1996;1870;PALMOLI;14.56680556;41.94194444;363;1;OD:1870;NA;13;NA
1997;1880;MONTEFALCONE DEL SANNIO;14.63566667;41.86666667;559;1;OD:1880;NA;13;NA
1998;1890;MONTEMITRO;14.63566667;41.88916667;279;1;OD:1890;NA;13;NA
1999;190;CAMPOTOSTO;13.40638889;42.53611111;1384;1;OD:190;NA;13;NA
2000;1900;PALATA;14.78566667;41.89777778;401;1;OD:1900;NA;13;NA
2001;1910;MAFALDA;14.70233333;41.94111111;403;1;OD:1910;NA;13;NA
2002;1920;LENTELLA;14.67583333;41.99444444;351;1;OD:1920;NA;13;NA
2003;1940;TERMOLI;14.96888889;41.9825;67;1;OD:1940;NA;13;NA
2004;1950;CAMPITELLO MATESE;14.38566667;41.46111111;1452;1;OD:1950;NA;13;NA
2005;1960;BOIANO;14.45233333;41.49944444;499;1;OD:1960;NA;13;NA
2006;1970;INDIPRETE;14.3415;41.54569444;672;1;OD:1970;NA;13;NA
2007;1990;SPINETE;14.48566667;41.54277778;631;1;OD:1990;NA;13;NA
2008;20;COLONNELLA;13.869;42.86666667;240;1;OD:20;NA;13;NA
2009;200;NERITO;13.47777778;42.54833333;831;1;OD:200;NA;13;NA
2010;2000;ROCCAMANDOLFI;14.35222222;41.49444444;795;1;OD:2000;NA;13;NA
2011;2010;GUARDIAREGIA;14.53566667;41.43555556;684;1;OD:2010;NA;13;NA
2012;2020;VINCHIATURO;14.58566667;41.49166667;605;1;OD:2020;NA;13;NA
2013;2030;BARANELLO;14.55233333;41.52944444;570;1;OD:2030;NA;13;NA
2014;2040;CAMPOBASSO;14.65233333;41.55;710;1;OD:2040;NA;13;NA
2015;2050;CASTROPIGNANO;14.53566667;41.61277778;670;1;OD:2050;NA;13;NA
2017;2070;S.ANGELO LIMOSANO;14.60555556;41.695;835;1;OD:2070;NA;13;NA
2018;2080;LUCITO;14.68566667;41.74888889;597;1;OD:2080;NA;13;NA
2019;210;FANO ADRIANO;13.53566667;42.55;698;1;OD:210;NA;13;NA
2020;2100;RIPABOTTONI;14.80233333;41.68555556;548;1;OD:2100;NA;13;NA
2021;2110;CIVITACAMPOMARANO;14.68566667;41.78;490;1;OD:2110;NA;13;NA
2022;2130;CASTELMAURO;14.70233333;41.81666667;732;1;OD:2130;NA;13;NA
2023;2140;PONTE LISCIONE  (ex GUARDIALFIERA);14.80861111;41.80722222;132;1;OD:2140;NA;13;NA
2024;2150;LARINO;14.919;41.80055556;421;1;OD:2150;NA;13;NA
2025;2160;GUGLIONESI;14.90233333;41.91;206;1;OD:2160;NA;13;NA
2027;2180;CASACALENDA;14.8525;41.74;545;1;OD:2180;NA;13;NA
2028;2190;PORTOCANNONE;15.00238889;41.90277778;121;1;OD:2190;NA;13;NA
2029;220;PIETRACAMELA;13.55472222;42.52361111;1109;1;OD:220;NA;13;NA
2030;2200;URURI;15.019;41.81666667;214;1;OD:2200;NA;13;NA
2031;2210;SERRACAPRIOLA;15.15222222;41.80944444;190;1;OD:2210;NA;13;NA
2032;2220;CHIEUTI SCALO  (ex TORRE FANTINA);15.15597222;41.9215;5;1;OD:2220;NA;13;NA
2033;2230;MONTEFALCONE  VALFORTORE;15.00233333;41.32222222;902;1;OD:2230;NA;13;NA
2034;2250;ROSETO VALFORTORE;15.08566667;41.37444444;560;1;OD:2250;NA;13;NA
2035;2260;S.BARTOLOMEO IN GALDO;15.01913889;41.41111111;580;1;OD:2260;NA;13;NA
2036;2270;CASTELVETERE  VALFORTORE;14.90233333;41.44166667;908;1;OD:2270;NA;13;NA
2037;2280;VOLTURARA APPULA;15.05233333;41.51388889;496;1;OD:2280;NA;13;NA
2038;230;VILLA VALLUCCI;13.6125;42.60111111;501;1;OD:230;NA;13;NA
2039;2320;CAMPOLIETO;14.7675;41.66388889;647;1;OD:2320;NA;13;NA
2040;2340;RICCIA;14.83566667;41.48833333;637;1;OD:2340;NA;13;NA
2041;2350;GAMBATESA;14.90233333;41.5;438;1;OD:2350;NA;13;NA
2043;2370;S.ELIA A PIANISI;14.88;41.62333333;628;1;OD:2370;NA;13;NA
2044;2380;COLLETORTO;14.96888889;41.66388889;482;1;OD:2380;NA;13;NA
2045;240;FANO A CORNO;13.61472222;42.49111111;723;1;OD:240;NA;13;NA
2046;2400;BONEFRO;14.93555556;41.70277778;579;1;OD:2400;NA;13;NA
2047;2410;MASSERIA MONTESECCO  (ex VERRUSIO);15.08566667;41.73333333;212;1;OD:2410;NA;13;NA
2048;2420;CASTELNUOVO DELLA  DAUNIA;15.15244444;41.60444444;223;1;OD:2420;NA;13;NA
2049;2440;AZIENDA AGRIALCO;15.169;41.84111111;220;1;OD:2440;NA;13;NA
2050;2460;SAN NICOLA;15.50405556;42.11911111;6;1;OD:2460;NA;13;NA
2051;2470;SAN NICOLA;15.50405556;42.11911111;6;1;OD:2470;NA;13;NA
2052;250;S. GABRIELE;13.65233333;42.51666667;448;1;OD:250;NA;13;NA
2053;2510;TAGLIACOZZO;13.26527778;42.06777778;752;1;OD:2510;NA;13;NA
2054;2520;ROCCACERRO (TAGLIACOZZO);13.20166667;42.07083333;1226;1;OD:2520;NA;13;NA
2055;2530;VERRECCHIE (CAPPADOCIA);13.24861111;42.03583333;1039;1;OD:2530;NA;13;NA
2056;2540;VILLA S.SEBASTIANO (TAGLIACOZZO);13.305;42.0325;887;1;OD:2540;NA;13;NA
2057;2550;COLLELONGO;13.57888889;41.8975;850;1;OD:2550;NA;13;NA
2058;2560;PERETO;13.10861111;42.05888889;931;1;OD:2560;NA;13;NA
2059;2570;CARSOLI, PIETRASECCA;13.13138889;42.13361111;893;1;OD:2570;NA;13;NA
2060;2580;OVINDOLI;13.51305556;42.155;1377;1;OD:2580;NA;13;NA
2061;2590;SAN VINCENZO VALLE ROVETO, ROCCAVIVI;13.53111111;41.81916667;483;1;OD:2590;NA;13;NA
2062;260;ISOLA DEL G.SASSO  (PRETARA);13.665;42.48444444;552;1;OD:260;NA;13;NA
2063;2600;COLLARMELE;13.62583333;42.06;830;1;OD:2600;NA;13;NA
2064;2610;ORTUCCHIO;13.64861111;41.95722222;668;1;OD:2610;NA;13;NA
2065;2620;CELANO;13.53694444;42.07388889;709;1;OD:2620;NA;13;NA
2067;270;CASTELLI;13.71194444;42.48472222;509;1;OD:270;NA;13;NA
2068;275;TOSSICIA - AZZINANO;13.63194444;42.55638889;559;1;OD:275;NA;13;NA
2069;280;TOSSICIA;13.65233333;42.55;422;1;OD:280;NA;13;NA
2071;30;NERETO;13.81277778;42.82194444;159;1;OD:30;NA;13;NA
2072;300;GUARDIA VOMANO;13.8975;42.63388889;121;1;OD:300;NA;13;NA
2073;310;PONTE VOMANO;13.76861111;42.60888889;135;1;OD:310;NA;13;NA
2074;320;NOTARESCO;13.85777778;42.67416667;271;1;OD:320;NA;13;NA
2075;325;CASOLI DI ATRI;13.98194444;42.6225;107;1;OD:325;NA;13;NA
2076;330;SILVI ALTA;14.0625;42.56222222;244;1;OD:330;NA;13;NA
2077;331;SILVI MARINA;14.10027778;42.56861111;2;1;OD:331;NA;13;NA
2078;333;PINETO;14.055;42.62361111;24;1;OD:333;NA;13;NA
2079;335;CERMIGNANO;13.79666667;42.59138889;468;1;OD:335;NA;13;NA
2080;340;ATRI;13.96861111;42.57972222;382;1;OD:340;NA;13;NA
2081;342;ATRI 2 (Calanchi);13.99833333;42.5725;274;1;OD:342;NA;13;NA
2082;350;CITTA' S.ANGELO;14.05083333;42.51638889;222;1;OD:350;NA;13;NA
2083;360;VALLE D'ANGRI;13.80233333;42.41666667;723;1;OD:360;NA;13;NA
2084;370;FARINDOLA;13.81972222;42.44138889;436;1;OD:370;NA;13;NA
2085;380;PENNE;13.9175;42.46444444;408;1;OD:380;NA;13;NA
2087;395;LORETO APRUTINO;13.94694444;42.38416667;259;1;OD:395;NA;13;NA
2088;40;CIVITELLA DEL TRONTO;13.66777778;42.77333333;518;1;OD:40;NA;13;NA
2089;400;MOSCUFO;14.06666667;42.42611111;165;1;OD:400;NA;13;NA
2094;410;ARSITA;13.79805556;42.5;531;1;OD:410;NA;13;NA
2112;430;MONTEFINO;13.88583333;42.54694444;304;1;OD:430;NA;13;NA
2122;440;MONTESILVANO ALTA;14.12972222;42.48916667;91;1;OD:440;NA;13;NA
2133;45;S. OMERO;13.77638889;42.78861111;172;1;OD:45;NA;13;NA
2135;470;MONTEREALE;13.24138889;42.52611111;914;1;OD:470;NA;13;NA
2136;490;TERMINE;13.20777778;42.445;1057;1;OD:490;NA;13;NA
2137;50;GIULIANOVA;13.95277778;42.74805556;53;1;OD:50;NA;13;NA
2138;5010;VIBRATA ad ALBA  ADRIATICA;13.91916667;42.83583333;6;1;OD:5010;NA;13;NA
2139;510;PIZZOLI;13.3175;42.42861111;783;1;OD:510;NA;13;NA
2141;5120;SALINELLO a CAVATASSI;13.90583333;42.78388889;34;1;OD:5120;NA;13;NA
2142;520;TORNIMPARTE;13.30166667;42.28861111;865;1;OD:520;NA;13;NA
2143;5210;TORDINO a TERAMO;13.71472222;42.65416667;254;1;OD:5210;NA;13;NA
2144;5230;TORDINO a CORDESCO;13.87527778;42.69805556;84;1;OD:5230;NA;13;NA
2145;530;SCOPPITO;13.255;42.37222222;777;1;OD:530;NA;13;NA
2146;5320;VOMANO a SENARICA e  PIANO VOMANO;14.03566667;42.55;175;1;OD:5320;NA;13;NA
2147;5360;RIO ARNO a P.TE RIO ARNO;13.54805556;42.55416667;542;1;OD:5360;NA;13;NA
2149;5380;MAVONE ad ISOLA  DEL GRAN SASSO;13.669;42.5;513;1;OD:5380;NA;13;NA
2150;5390;RUZZO a PRETARA;13.669;42.48333333;578;1;OD:5390;NA;13;NA
2151;540;CASAMAINA;13.38575;42.2575;1495;1;OD:540;NA;13;NA
2152;5400;RUZZO ad ISOLA  DEL GRAN SASSO;13.669;42.5;513;1;OD:5400;NA;13;NA
2153;5408;VOMANO a BASCIANO;13.715;42.61222222;217;1;OD:5408;NA;13;NA
2154;5410;VOMANO a PONTE  VOMANO;13.75244444;42.60916667;150;1;OD:5410;NA;13;NA
2155;5430;VOMANO a VILLA VOMANO;13.75233333;42.6;177;1;OD:5430;NA;13;NA
2156;5440;VOMANO a FONTANELLE  DI ATRI;13.92111111;42.62416667;58;1;OD:5440;NA;13;NA
2157;545;L'AQUILA CF;13.37444444;42.35666667;631;1;OD:545;NA;13;NA
2158;55;ROCCA S. MARIA fr.IMPOSTA;13.52583333;42.68833333;1041;1;OD:55;NA;13;NA
2159;550;L'AQUILA;13.42861111;42.33416667;618;1;OD:550;NA;13;NA
2160;5590;PIOMBA a SILVI;14.12833333;42.52805556;14;1;OD:5590;NA;13;NA
2161;5638;TAVO a MOLINO CRETARA;13.919;42.43333333;244;1;OD:5638;NA;13;NA
2162;5639;TAVO A LORETO APRUTINO;13.93583333;42.42166667;202;1;OD:5639;NA;13;NA
2163;5640;TAVO a S.PELLEGRINO;13.93566667;42.41666667;202;1;OD:5640;NA;13;NA
2164;5675;FINO A PICCIANO;13.99027778;42.49083333;114;1;OD:5675;NA;13;NA
2165;5678;SALINE A VILLA CARMINE;14.12;42.50222222;17;1;OD:5678;NA;13;NA
2166;5710;ATERNO a TRE PONTI;13.25805556;42.47638889;848;1;OD:5710;NA;13;NA
2167;5730;ATERNO a L'AQUILA;13.38055556;42.35055556;629;1;OD:5730;NA;13;NA
2168;5750;ATERNO A FAGNANO;13.56722222;42.24805556;599;1;OD:5750;NA;13;NA
2169;5770;ATERNO a MOLINA;13.75305556;42.13722222;575;1;OD:5770;NA;13;NA
2170;580;CAMPO IMPERATORE;13.55777778;42.44388889;2207;1;OD:580;NA;13;NA
2171;5800;TASSO a SCANNO;13.87194444;41.9175;992;1;OD:5800;NA;13;NA
2172;5810;LAGO di SCANNO a SCANNO  (MADONNA del LAGO);13.86902778;41.91833333;992;1;OD:5810;NA;13;NA
2173;5820;SAGITTARIO a VILLALAGO;13.83566667;41.93833333;919;1;OD:5820;NA;13;NA
2174;585;CAMPO IMPERATORE (SIAP);13.569;42.45;2289;1;OD:585;NA;13;NA
2175;5870;SAGITTARIO a CAPO CANALE;13.86638889;42.12333333;315;1;OD:5870;NA;13;NA
2176;590;ASSERGI;13.51805556;42.41972222;1016;1;OD:590;NA;13;NA
2177;5900;ATERNO SAGITTARIO ad  ALLOGGIAMENTO IDR.;13.82972222;42.15638889;251;1;OD:5900;NA;13;NA
2178;5920;PESCARA a MARAONE;13.83861111;42.18;291;1;OD:5920;NA;13;NA
2179;5940;TIRINO a MADONNINA;13.82222222;42.21416667;332;1;OD:5940;NA;13;NA
2180;5970;TIRINO A BUSSI SCALO;13.85233333;42.2;559;1;OD:5970;NA;13;NA
2181;5984;ORFENTO a CARAMANICO;14.00083333;42.16222222;546;1;OD:5984;NA;13;NA
2182;5988;ORTE a MUSELLARO;13.96;42.19388889;350;1;OD:5988;NA;13;NA
2183;5990;ORTE a BOLOGNANO;13.95233333;42.21666667;294;1;OD:5990;NA;13;NA
2184;60;PAGLIAROLI  (ex CORTINO);13.54194444;42.63166667;865;1;OD:60;NA;13;NA
2185;600;BAZZANO;13.45233333;42.33333333;613;1;OD:600;NA;13;NA
2186;6020;LAVINO a SCAFA;14.00238889;42.26444444;112;1;OD:6020;NA;13;NA
2187;6030;PESCARA AD ALANNO;14.01305556;42.27083333;91;1;OD:6030;NA;13;NA
2188;6050;CIGNO A PIANO NUOVO;14.03566667;42.31666667;181;1;OD:6050;NA;13;NA
2189;6060;CIGNO A PONTE ROSCIANO;14.05233333;42.35;100;1;OD:6060;NA;13;NA
2190;6070;NORA A CEPAGATTI;14.05233333;42.35;100;1;OD:6070;NA;13;NA
2191;6090;PESCARA A VILLAREIA;14.11944444;42.34194444;35;1;OD:6090;NA;13;NA
2192;610;POGGIO PICENZE;13.55233333;42.31666667;851;1;OD:610;NA;13;NA
2193;6130;PESCARA a SAMBUCETO;14.15233333;42.41666667;25;1;OD:6130;NA;13;NA
2194;6140;PESCARA a S.TERESA;14.16277778;42.42361111;13;1;OD:6140;NA;13;NA
2195;6145;PESCARA A S.TERESA, VALLE DIGA;14.16638889;42.42611111;16;1;OD:6145;NA;13;NA
2196;6250;ALENTO A RIPA TEATINA;14.23416667;42.37027778;65;1;OD:6250;NA;13;NA
2197;6290;ALENTO a S. LEONARDO;14.27666667;42.42222222;33;1;OD:6290;NA;13;NA
2198;630;ROCCA DI MEZZO;13.52055556;42.2025;1291;1;OD:630;NA;13;NA
2199;6320;FORO a PONTE di VACRI;14.23444444;42.30861111;124;1;OD:6320;NA;13;NA
2201;6390;FORO a TORRE FORO;14.319;42.4;1;1;OD:6390;NA;13;NA
2202;6395;FORO a MOLINO GALASSO;14.31833333;42.38694444;27;1;OD:6395;NA;13;NA
2203;640;BEFFI;13.67694444;42.19194444;689;1;OD:640;NA;13;NA
2204;650;CAMPANA;13.56722222;42.24777778;599;1;OD:650;NA;13;NA
2205;6560;FELTRINO a S.VITO;14.43944444;42.29638889;50;1;OD:6560;NA;13;NA
2206;6610;SANGRO ad OPI;13.83361111;41.78472222;1113;1;OD:6610;NA;13;NA
2207;6620;SANGRO a VILLETTA  BARREA;13.91916667;41.77722222;1152;1;OD:6620;NA;13;NA
2208;6630;SANGRO a BARREA;13.98566667;41.76666667;1313;1;OD:6630;NA;13;NA
2209;6650;SANGRO ad ALFEDENA;14.03566667;41.73333333;895;1;OD:6650;NA;13;NA
2210;6660;RIO TORTO ad ALFEDENA;14.03566667;41.73333333;895;1;OD:6660;NA;13;NA
2211;6670;ZITTOLA a MONTENERO;14.09361111;41.75166667;827;1;OD:6670;NA;13;NA
2212;6690;SANGRO ad ATELETA;14.21111111;41.85444444;773;1;OD:6690;NA;13;NA
2213;670;GORIANO SICOLI;13.79888889;42.08222222;884;1;OD:670;NA;13;NA
2214;6720;SANGRO a VILLA S.MARIA;14.35638889;41.955;311;1;OD:6720;NA;13;NA
2215;6750;AVENTINO a LAMA DEI PELIGNI;14.18566667;42.01666667;445;1;OD:6750;NA;13;NA
2216;6760;AVENTINO a VICENNE;14.22722222;42.065;324;1;OD:6760;NA;13;NA
2217;6800;VERDE a VISCARDI;14.21805556;42.09833333;392;1;OD:6800;NA;13;NA
2218;6810;VERDE a VISCARDI;14.21805556;42.09833333;392;1;OD:6810;NA;13;NA
2219;6820;VERDE a VISCARDI  canale c.le DE CECCO;14.219;42.1;376;1;OD:6820;NA;13;NA
2220;6880;SANGRO al PONTE DI GUASTACCONCIO;14.78566667;42.18333333;0;1;OD:6880;NA;13;NA
2221;6890;SANGRO a PAGLIETA;14.50472222;42.19944444;22;1;OD:6890;NA;13;NA
2222;690;PASSO GODI;13.92944444;41.83694444;1582;1;OD:690;NA;13;NA
2224;700;SCANNO;13.8775;41.90694444;1035;1;OD:700;NA;13;NA
2225;7020;OSENTO a S. TOMMASO;14.58416667;42.20333333;25;1;OD:7020;NA;13;NA
2226;7060;SINELLO a CARPINETO  SINELLO;14.49777778;42.01694444;313;1;OD:7060;NA;13;NA
2227;7068;SINELLO a POLLUTRI;14.64361111;42.13722222;37;1;OD:7068;NA;13;NA
2228;7070;SINELLO a CASALBORDINO;14.63575;42.16388889;30;1;OD:7070;NA;13;NA
2229;710;FRATTURA;13.869;41.93333333;1342;1;OD:710;NA;13;NA
2230;7110;TRIGNO a PESCOLANCIANO;14.33566667;41.68333333;770;1;OD:7110;NA;13;NA
2231;7120;TRIGNO a CHIAUCI;14.38566667;41.67;777;1;OD:7120;NA;13;NA
2232;7130;VERRINO ad AGNONE;14.369;41.78333333;613;1;OD:7130;NA;13;NA
2233;7140;TRIGNO a TRIVENTO;14.53577778;41.79333333;368;1;OD:7140;NA;13;NA
2234;7160;TRIGNO a CAPRAFICA;14.63577778;41.88888889;279;1;OD:7160;NA;13;NA
2235;7190;TRIGNO A SAN SALVO;14.769;42.03333333;15;1;OD:7190;NA;13;NA
