SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Comments;Comments2;Elevation_flag
2;1010;Ayas_-_Alpe_Courthoud;7.715099812;45.87379837;2108;VDA;OD:1010;NA;NA;0
28;1290;Gressoney-Saint-Jean_-_Capoluogo;7.832520008;45.76750183;1405;VDA;OD:1290;NA;NA;0
39;1420;Nus_-_Porliod;7.4929800029999996;45.80179977;1928;VDA;OD:1420;NA;NA;0
51;1560;Roisan_-_Moulin_Closellinaz;7.306099892;45.78649902;801;VDA;OD:1560;NA;NA;0
59;1640;Valpelline_-_Prel?;7.369040012;45.83769989;1172;VDA;OD:1640;NA;NA;0
61;1660;Valsavarenche_-_Mol?re;7.202109814;45.64720154;1347;VDA;OD:1660;NA;NA;0
68;1740;Pr?-Saint-Didier_-_Capoluogo_Valle;6.991919994;45.76319885;1097;VDA;OD:1740;NA;NA;0
99;4400;Ayas_-_Mandriou;7.687809944;45.82369995;1808;VDA;OD:4400;NA;NA;0
1;1000;Arvier_-_Chamen?on;7.107460022;45.67839813;1392;VDA;OD:1000;NA;NA;0
3;1020;Aymavilles_-_Centrale_idroelettrica_;7.252590179;45.71080017;638;VDA;OD:1020;NA;NA;0
4;1030;Aymavilles_-_Vieyes;7.250830173;45.64970016;1538;VDA;OD:1030;NA;NA;0
5;1040;Bionaz_-_Place_Moulin;7.491960049;45.89970016;2155;VDA;OD:1040;NA;NA;0
7;1060;Brusson_-_Extrapieraz;7.697539806;45.78039932;1400;VDA;OD:1060;NA;NA;0
9;1080;Chamois_-_Lac_de_Lou;7.622859955;45.8445015;2030;VDA;OD:1080;NA;NA;0
10;1090;Champdepraz_-_Chevr?re;7.613409996;45.6833992;1464;VDA;OD:1090;NA;NA;0
11;1100;Champdepraz_-_Ponte_Dora_Baltea;7.67373991;45.68180084;382;VDA;OD:1100;NA;NA;0
12;1110;Champorcher_-_Chardonney;7.608779907;45.62060165;1519;VDA;OD:1110;NA;NA;0
13;1120;Champorcher_-_Rifugio_Dondena;7.551869869;45.61230087;2143;VDA;OD:1120;NA;NA;0
14;1130;Cogne_-_Cr?taz;7.340509892;45.61449814;1578;VDA;OD:1130;NA;NA;0
15;1140;Cogne_-_Lillaz;7.391439915;45.59529877;1698;VDA;OD:1140;NA;NA;0
16;1150;Cogne_-_Valnontey;7.337329865;45.58560181;1758;VDA;OD:1150;NA;NA;0
17;1160;Cogne_-_Grand-Crot;7.370120049;45.58940125;2249;VDA;OD:1160;NA;NA;0
18;1170;Courmayeur_-_Ferrachet;7.28920174;45.86640167;2567;VDA;OD:1170;NA;NA;0
19;1190;Courmayeur_-_Lex_Blanche;6.838280201;45.76639938;2118;VDA;OD:1190;NA;NA;0
20;1200;Courmayeur_-_Mont_de_la_Saxe;6.980350018;45.81620026;2076;VDA;OD:1200;NA;NA;0
21;1220;Courmayeur_-_Pr?-de-Bard;7.64730167;45.88359833;2066;VDA;OD:1220;NA;NA;0
22;1230;F?nis_-_Clavalit?;7.49737978;45.6867981;1515;VDA;OD:1230;NA;NA;0
23;1240;F?nis_-_Lavodilec;7.483920097;45.64379883;2035;VDA;OD:1240;NA;NA;0
24;1250;Gressan_-_Pila-Leiss?;7.308869839;45.66429901;2261;VDA;OD:1250;NA;NA;0
25;1260;Gressoney-La-Trinit?_-_Alpe_Courtlys;7.807459831;45.86859894;2095;VDA;OD:1260;NA;NA;0
