SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
1;176900;Craco Peschiera;16.5153;40.3667;65;1;OD:176900;NA;17;NA
2;177000;Torre Accio;16.6539;40.3925;21;1;OD:177000;NA;17;NA
5;179800;Campomaggiore;16.0778;40.5486;437;1;OD:179800;NA;17;NA
6;179900;Albano di Lucania;16.0378;40.5894;794;1;OD:179900;NA;17;NA
7;203900;Sinni SS106;16.6514;40.1678;10;1;OD:203900;NA;17;NA
8;204000;Cavone SS106;16.7267;40.2983;14;1;OD:204000;NA;17;NA
9;215900;Basento freatimetro;16.7789;40.3742;8;1;OD:215900;NA;17;NA
11;230600;Bradano freatimetro;16.8181;40.425;9;1;OD:230600;NA;17;NA
12;233200;Terra Montonata;16.7519;40.31;10;1;OD:233200;NA;17;NA
13;240400;Basento SS 106;16.7806;40.3694;8;1;OD:240400;NA;17;NA
15;240700;Grassano SP;16.275;40.6347;450;1;OD:240700;NA;17;NA
17;275500;Episcopia-Pizzutello;16.1036;40.07;471;1;OD:275500;NA;17;NA
18;275600;Castrocucco;15.7967;40.0011;163;1;OD:275600;NA;17;NA
19;276500;Terranova di Pollino;16.2983;39.9839;1150;1;OD:276500;NA;17;NA
20;276900;Tursi;16.4711;40.2517;257;1;OD:276900;NA;17;NA
21;277300;Marsico Nuovo;15.725;40.405;666;1;OD:277300;NA;17;NA
23;331200;Castelsaraceno;15.9861;40.1611;959;1;OD:331200;NA;17;NA
25;332500;Roccanova;16.2067;40.2128;610;1;OD:332500;NA;17;NA
26;387900;Potenza Q.A.;15.7969;40.6264;708;1;OD:387900;NA;17;NA
29;418000;Oppido Lucano;15.9983;40.7639;580;1;OD:418000;NA;17;NA
30;418100;Lavello;15.7914;41.0369;314;1;OD:418100;NA;17;NA
31;418200;Venosa;15.8036;40.9597;406;1;OD:418200;NA;17;NA
32;418300;Palazzo S.Gervasio;15.98;40.9339;422;1;OD:418300;NA;17;NA
33;419700;Picerno;15.6369;40.6372;638;1;OD:419700;NA;17;NA
34;419800;Balvano;15.5014;40.6494;477;1;OD:419800;NA;17;NA
35;419900;Brienza;15.6411;40.4794;765;1;OD:419900;NA;17;NA
36;420000;Tito;15.6569;40.5742;728;1;OD:420000;NA;17;NA
38;481200;Montescaglioso;16.7014;40.5583;82;1;OD:481200;NA;17;NA
39;54700;Tramutola;15.7867;40.2986;875;1;OD:54700;NA;17;NA
40;54800;Stigliano;16.2236;40.3928;807;1;OD:54800;NA;17;NA
41;54900;Noepoli;16.3306;40.0894;575;1;OD:54900;NA;17;NA
42;55000;Matera;16.6017;40.6694;389;1;OD:55000;NA;17;NA
43;55100;Lagonegro;15.7622;40.1344;879;1;OD:55100;NA;17;NA
44;55200;Irsina;16.2461;40.7417;453;1;OD:55200;NA;17;NA
48;83800;Potenza;15.8108;40.6328;669;1;OD:83800;NA;17;NA
100;100;Accettura;16.1486295986;40.5006772266;799;0;OD:100;NA;17;NA
101;101;Acerenza;15.9326469898;40.8006734953;833;0;OD:101;NA;17;NA
102;102;Acquafredda;15.6668096649;40.0339926458;86;0;OD:102;NA;17;NA
103;103;Agromonte_C._C.;16.0489373913;40.0673364119;500;0;OD:103;NA;17;NA
104;104;Albano_di_Lucania;16.0358513363;40.5819656006;824;0;OD:104;NA;17;NA
105;105;Aliano;16.2316980607;40.3006782273;497;0;OD:105;NA;17;NA
106;106;Anzi;15.9160287691;40.5173368977;1066;0;OD:106;NA;17;NA
107;107;Armento;16.0655547873;40.3006725172;640;0;OD:107;NA;17;NA
108;108;Baraccone_C.C.;16.3313852006;40.3840161189;335;0;OD:108;NA;17;NA
