SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
1;1000;Domanico;16.2075;39.21638889;749;Calabria;OD:1000;1
2;1010;Cosenza;16.26527778;39.28694444;269;Calabria;OD:1010;1
4;1015;Cosenza - Busento;16.25733333;39.29177778;229;Calabria;OD:1015;1
5;1020;Cerisano;16.17444444;39.28111111;584;Calabria;OD:1020;1
6;1025;Castiglione Cosentino;16.25908333;39.35641667;196;Calabria;OD:1025;1
7;1030;San Pietro in Guarano;16.31361111;39.34555556;766;Calabria;OD:1030;1
8;1040;Rende;16.18027778;39.33111111;392;Calabria;OD:1040;1
9;1050;Rose;16.2875;39.39833333;396;Calabria;OD:1050;1
10;1060;Montalto Uffugo;16.13055556;39.40111111;436;Calabria;OD:1060;1
11;1070;Laghitello C.C.;16.10111111;39.43805556;764;Calabria;OD:1070;1
12;1080;San Martino di Finita;16.10805556;39.48972222;480;Calabria;OD:1080;1
13;1090;Camigliatello Silano (ex Federici);16.4372;39.33722222;1284;Calabria;OD:1090;1
14;1092;Camigliatello - Monte Curcio;16.42305556;39.31611111;1711;Calabria;OD:1092;1
15;1100;Cecita;16.53777778;39.39994444;1173;Calabria;OD:1100;1
16;1110;Pinutello C.C.;16.47416667;39.45138889;1124;Calabria;OD:1110;1
17;1120;Acri;16.3935;39.48252778;746;Calabria;OD:1120;1
18;1130;Torano Scalo;16.21;39.49388889;93;Calabria;OD:1130;1
19;1135;Fitterizzi;16.14083333;39.52027778;208;Calabria;OD:1135;1
20;1140;Tarsia;16.27277778;39.61722222;203;Calabria;OD:1140;1
21;1145;Mongrassano Scalo;16.21583333;39.53388889;124;Calabria;OD:1145;1
22;1150;Santa Sofia d'Epiro;16.32;39.5475;517;Calabria;OD:1150;1
23;1155;Santa Sofia d'Epiro - Crati;16.2625;39.59138889;68;Calabria;OD:1155;1
24;1160;Sant'Agata C.C.;16.38388889;39.64027778;99;Calabria;OD:1160;1
25;1170;Morano Calabro;16.13802778;39.84008333;604;Calabria;OD:1170;1
26;1180;Castrovillari;16.25416667;39.76555556;199;Calabria;OD:1180;1
27;1184;Piano Campolongo;16.10666639;39.775;1385;Calabria;OD:1184;1
28;1185;Castrovillari - Camerata;16.27191667;39.73308333;63;Calabria;OD:1185;1
29;1190;Firmo;16.17416667;39.72194444;311;Calabria;OD:1190;1
30;1195;Lungro;16.12391667;39.73669444;573;Calabria;OD:1195;1
31;1200;Santa Agata d'Esaro;16.00277778;39.61944444;383;Calabria;OD:1200;1
32;1210;Malvito;16.05277778;39.59888889;320;Calabria;OD:1210;1
33;1220;Roggiano Gravina;16.15055556;39.61777778;258;Calabria;OD:1220;1
34;1230;San Sosti;16.02805556;39.66444444;384;Calabria;OD:1230;1
35;1240;Acquaformosa;16.10666667;39.72222222;518;Calabria;OD:1240;1
36;1250;Fagnano Castello;16.05555556;39.56388889;504;Calabria;OD:1250;1
37;1260;San Marco Argentano;16.11083333;39.55944444;285;Calabria;OD:1260;1
38;1264;Tarsia Scalo;16.28305556;39.62583333;286;Calabria;OD:1264;1
39;1270;Mongrassano;16.12333333;39.52555556;425;Calabria;OD:1270;1
40;1280;Spezzano Albanese Scalo;16.29027778;39.71;52;Calabria;OD:1280;1
41;1290;Caselle;16.42083333;39.72055556;12;Calabria;OD:1290;1
42;1294;Thurio;16.48999972;39.69222222;7;Calabria;OD:1294;1
43;1295;Sibari;16.49675;39.71041667;5;Calabria;OD:1295;1
44;1296;Macchia Albanese;16.38138889;39.58055556;353;Calabria;OD:1296;1
45;1300;San Giorgio Albanese;16.45277778;39.58333333;325;Calabria;OD:1300;1
46;1301;Corigliano Idrometro;16.53416667;39.60083333;90;Calabria;OD:1301;1
47;1302;Pizzuto;16.66888889;39.55888889;202;Calabria;OD:1302;1
48;1305;Pagania d'Acri;16.40666639;39.6;178;Calabria;OD:1305;1
49;1310;Schiavonea;16.53916667;39.65333333;3;Calabria;OD:1310;1
50;1320;San Giacomo d'Acri;16.465;39.52416667;720;Calabria;OD:1320;1
51;1324;Corigliano Calabro;16.52063889;39.58733333;254;Calabria;OD:1324;1
52;1330;Rossano;16.63416667;39.57444444;223;Calabria;OD:1330;1
53;1340;Staggi;16.57333333;39.47083333;1338;Calabria;OD:1340;1
54;1341;Difesa;16.56333306;39.45083333;1207;Calabria;OD:1341;1
55;1350;Difesella;16.53166667;39.45333333;1038;Calabria;OD:1350;1
56;1360;Longobucco;16.61027778;39.44611111;869;Calabria;OD:1360;1
57;1365;Cozzo Carbonella;16.89;39.43333333;187;Calabria;OD:1365;1
58;1370;Bocchigliero;16.75305556;39.41722222;763;Calabria;OD:1370;1
59;1375;Macchia di Pietra;16.58999972;39.34472222;1420;Calabria;OD:1375;1
60;1380;Cropalati;16.72444444;39.51583333;321;Calabria;OD:1380;1
61;1385;Cropalati - Trionto;16.74461111;39.519;129;Calabria;OD:1385;1
62;1390;Crosia;16.77305556;39.56666667;136;Calabria;OD:1390;1
63;1400;Pietrapaola;16.81444444;39.48722222;346;Calabria;OD:1400;1
64;1410;Cariati Marina;16.94022222;39.50513889;14;Calabria;OD:1410;1
65;1415;Crucoli SS 106;17.01027778;39.47344444;13;Calabria;OD:1415;1
66;1420;Campana;16.8275;39.40805556;474;Calabria;OD:1420;1
67;1430;Scala Coeli;16.89;39.44527778;296;Calabria;OD:1430;1
68;1440;Crucoli;17.00388889;39.42444444;279;Calabria;OD:1440;1
69;1444;Montagna C.C.;16.80583333;39.39;818;Calabria;OD:1444;1
70;1450;Umbriatico;16.91916667;39.35361111;301;Calabria;OD:1450;1
71;1455;Ciro' Marina - Punta Alice;17.12611111;39.38416667;8;Calabria;OD:1455;1
72;1456;Cir? Superiore;17.05880556;39.38158333;269;Calabria;OD:1456;1
73;1460;Ciro' Marina;17.10944444;39.40777778;27;Calabria;OD:1460;1
74;1470;San Giovanni in Fiore;16.71583333;39.26333333;967;Calabria;OD:1470;1
76;1472;Juntura;16.72638861;39.23833333;1074;Calabria;OD:1472;1
77;1474;Torre Garga;16.66805528;39.27805556;1204;Calabria;OD:1474;1
78;1475;Trepid? Idrometro;16.69972194;39.20444444;1243;Calabria;OD:1475;1
79;1476;Schiena D'Asino;16.75972194;39.30916667;1086;Calabria;OD:1476;1
80;1480;Quaresima C.C.;16.44777778;39.21611111;1345;Calabria;OD:1480;1
81;1485;San Bernardo;16.60666639;39.3;1320;Calabria;OD:1485;1
82;1490;Lorica C.C.;16.51305556;39.25138889;1383;Calabria;OD:1490;1
83;1494;Rovale C.C.;16.55666639;39.25055556;1330;Calabria;OD:1494;1
84;1495;Botte Donato;16.45838889;39.28072222;1751;Calabria;OD:1495;1
85;1500;Nocelle - Arvo;16.545;39.24333333;1307;Calabria;OD:1500;1
86;1510;Sculca;16.50222222;39.32194444;1360;Calabria;OD:1510;1
87;1520;Monteoliveto C.C.;16.60305556;39.30583333;1320;Calabria;OD:1520;1
88;1524;Serralunga;16.67333306;39.25805556;1055;Calabria;OD:1524;1
89;1530;Stratalati C.C.;16.66583333;39.27861111;1222;Calabria;OD:1530;1
91;1540;Berberano C.C.;16.575;39.18166667;1335;Calabria;OD:1540;1
92;1550;Trepido';16.69777778;39.18861111;1243;Calabria;OD:1550;1
93;1560;Casa Pasquale;16.71888889;39.18111111;1122;Calabria;OD:1560;1
94;1570;Savelli;16.77277778;39.31277778;986;Calabria;OD:1570;1
