SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale;Elevation_flag
3;113650;S.Castrese;13.83625;41.2805;10;Campania;OD:113650;21520;S.Castrese;NA;NA;1
5;113670;Apice Calore;14.92891667;41.13008333;229;Campania;OD:113670;NA;NA;NA;NA;1
6;113680;Solopaca;14.571;41.20780556;95;Campania;OD:113680;NA;NA;NA;NA;1
7;113690;Amorosi;14.44955556;41.19577778;54;Campania;OD:113690;NA;NA;NA;NA;1
8;113700;Chianche;14.77627778;41.04797222;243;Campania;OD:113700;NA;NA;NA;NA;1
9;113740;Grazzanise;14.10547222;41.09272222;13;Campania;OD:113740;12243;Grazzanise;12242;Grazzanise;1
10;113750;Persano Sele;15.03255556;40.54433333;27;Campania;OD:113750;12247;Persano Sele;12246;Persano Sele;1
11;113760;Benevento;14.76241667;41.142;126;Campania;OD:113760;12251;Benevento;12250;Benevento;1
12;113770;Montella;15.05030556;40.84791667;513;Campania;OD:113770;12255;Montella;12254;Montella;1
13;113780;Paduli;14.83480556;41.14822222;147;Campania;OD:113780;12263;Paduli;12262;Paduli;1
15;113800;Castelluccio;15.33786111;40.58191667;328;Campania;OD:113800;12273;Castelluccio;12272;Castelluccio;1
16;113810;Montemarano;15.00366667;40.91425;816;Campania;OD:113810;12276;Montemarano;12275;Montemarano;1
17;113820;Auletta;15.42830556;40.55180556;232;Campania;OD:113820;12267;Auletta;12266;Auletta;1
18;115250;Contursi;15.22972222;40.6515;125;Campania;OD:115250;NA;NA;NA;NA;1
19;115260;Buccino;15.3905;40.60783333;181;Campania;OD:115260;NA;NA;NA;NA;1
20;115270;Ponte Calore;15.13363889;40.55372222;46;Campania;OD:115270;NA;NA;NA;NA;1
21;115280;Albanella;15.01511111;40.49713889;12;Campania;OD:115280;36570;Albanella;NA;NA;1
22;115290;Senerchia;15.20569444;40.73861111;525;Campania;OD:115290;12286;Senerchia;12287;Senerchia;1
23;117760;S.Pietro;14.786972219999999;40.81847222;225;Campania;OD:117760;12290;S.Pietro;12291;S.Pietro;1
24;117770;S.Mauro;14.63233333;40.76408333;28;Campania;OD:117770;12294;S.Mauro;12295;S.Mauro;1
25;117780;Ponte Camerelle;14.68483333;40.73425;117;Campania;OD:117780;12298;Ponte Camerelle;NA;NA;1
26;118250;Romagnano;15.45166667;40.61183333;307;Campania;OD:118250;NA;NA;NA;NA;1
27;118260;Salvitelle;15.47;40.59730556;294;Campania;OD:118260;NA;NA;NA;NA;1
28;118270;Castel S.Lorenzo;15.24241667;40.42275;147;Campania;OD:118270;NA;NA;NA;NA;1
30;118290;Bellosguardo;15.31147222;40.42333333;514;Campania;OD:118290;12309;Bellosguardo;NA;NA;1
31;121390;Sarno;14.61413889;40.8295;134;Campania;OD:121390;15276;Sarno;NA;NA;1
32;121400;Quindici;14.64883333;40.86472222;269;Campania;OD:121400;15282;Quindici;NA;NA;1
33;121410;Cetronico;14.70841667;40.80961111;266;Campania;OD:121410;15279;Cetronico;NA;NA;1
34;121420;Piani di Prato;14.64872222;40.83488889;894;Campania;OD:121420;15280;Piani di Prato;NA;NA;1
35;121430;Torriello;14.62586111;40.84752778;875;Campania;OD:121430;15285;Torriello;15286;Torriello;1
36;121640;Alife;14.33372222;41.33922222;123;Campania;OD:121640;18385;Alife;18387;Alife;1
37;121650;S.Angelo d'Alife;14.23647222;41.35333333;155;Campania;OD:121650;17272;S.Angelo d'Alife;17273;S.Angelo d'Alife;1
38;121660;Sorgenti Grassano;14.50166667;41.222;66;Campania;OD:121660;18393;Sorgenti Grassano;18395;Sorgenti Grassano;1
39;121670;Bagnoli Irpino;15.07444444;40.82730556;697;Campania;OD:121670;18398;Bagnoli Irpino;18401;Bagnoli Irpino;1
41;121720;Caposele;15.22097222;40.81613889;455;Campania;OD:121720;18408;Caposele;18411;Caposele;1
42;121730;Mercato S.Severino;14.75288889;40.77841667;139;Campania;OD:121730;17406;Mercato S.Severino;17409;Mercato S.Severino;1
43;121740;Pompei;14.49275;40.75669444;18;Campania;OD:121740;17266;Pompei;17267;Pompei;1
44;121800;Battipaglia;14.97575;40.61113889;73;Campania;OD:121800;17411;Battipaglia;17417;Battipaglia;1
45;125430;Contursi Meteo;15.25197222;40.676;292;Campania;OD:125430;17255;Contursi Meteo;17256;Contursi Meteo;1
46;125440;Alvignano;14.39466667;41.21825;194;Campania;OD:125440;17259;Alvignano;17260;Alvignano;1
47;125450;Boiara;15.24288889;40.84144444;677;Campania;OD:125450;17262;Boiara;17263;Boiara;1
48;125520;S.Felice a Cancello;14.47877778;40.99972222;561;Campania;OD:125520;18770;S.Felice a Cancello;NA;NA;1
49;125530;Melizzano;14.50527778;41.16730556;217;Campania;OD:125530;17399;Melizzano;17402;Melizzano;1
50;126760;Torre del Greco;14.38066667;40.79430556;136;Campania;OD:126760;18929;Torre del Greco;NA;NA;1
51;126770;S.Agata dei Goti;14.49938889;41.08572222;159;Campania;OD:126770;18899;S.Agata dei Goti;NA;NA;1
52;126780;Caiazzo;14.35722222;41.17966667;178;Campania;OD:126780;18947;Caiazzo;NA;NA;1
53;126790;Liberi;14.28797222;41.22341667;489;Campania;OD:126790;18889;Liberi;NA;NA;1
54;126800;Caserta Vecchia;14.36822222;41.09616667;383;Campania;OD:126800;18945;Caserta Vecchia;NA;NA;1
55;126810;Pozzuoli;14.13547222;40.82980556;128;Campania;OD:126810;18953;Pozzuoli;NA;NA;1
56;126820;Napoli Camaldoli;14.19905556;40.85838889;389;Campania;OD:126820;18891;Napoli Camaldoli;NA;NA;1
57;126830;Napoli Capodimonte;14.23258333;40.86166667;215;Campania;OD:126830;18949;Napoli Capodimonte;NA;NA;1
58;126840;Forino;14.74580556;40.86005556;420;Campania;OD:126840;18939;Forino;NA;NA;1
59;126850;Massa Lubrense;14.37122222;40.60541667;381;Campania;OD:126850;18921;Massa Lubrense;NA;NA;1
60;126860;Cava dei Tirreni;14.70230556;40.70597222;194;Campania;OD:126860;18917;Cava dei Tirreni;NA;NA;1
61;126870;Pellezzano;14.75652778;40.72880556;323;Campania;OD:126870;18925;Pellezzano;NA;NA;1
62;126880;Salerno Genio Civile;14.75144444;40.67808333;54;Campania;OD:126880;18957;Salerno Genio Civile;NA;NA;1
63;126890;Capri;14.23869444;40.54841667;78;Campania;OD:126890;18919;Capri;NA;NA;1
64;126900;S.Martino Valle Caudina;14.67647222;40.99744444;835;Campania;OD:126900;18905;S.Martino Valle Caudina;NA;NA;1
65;126910;Cervinara;14.63263889;41.0145;412;Campania;OD:126910;18897;Cervinara;NA;NA;1
66;126920;Ottaviano;14.47880556;40.85497222;163;Campania;OD:126920;18901;Ottaviano;NA;NA;1
67;126930;Visciano;14.58663889;40.92752778;438;Campania;OD:126930;18903;Visciano;NA;NA;1
68;126940;Pimonte;14.50397222;40.67338889;473;Campania;OD:126940;18935;Pimonte;NA;NA;1
69;126950;Mercogliano;14.73188889;40.92005556;661;Campania;OD:126950;18937;Mercogliano;NA;NA;1
70;126960;Lettere;14.53202778;40.70355556;245;Campania;OD:126960;18927;Lettere;NA;NA;1
71;126970;Corbara-S.Egidio M.;14.60127778;40.72483333;180;Campania;OD:126970;18923;Corbara-S.Egidio M.;NA;NA;1
72;126980;Ischia - Monte Epomeo;13.89555556;40.71180556;349;Campania;OD:126980;18955;Ischia - Monte Epomeo;NA;NA;1
73;126990;Arienzo;14.49980556;41.02966667;137;Campania;OD:126990;18895;Arienzo;NA;NA;1
74;127000;Giffoni Valle Piana;14.91208333;40.78680556;890;Campania;OD:127000;18964;Giffoni Valle Piana;NA;NA;1
75;127010;Monteforte Irpino;14.7215;40.88494444;496;Campania;OD:127010;18931;Monteforte Irpino;NA;NA;1
76;127020;Pietramelara;14.20927778;41.26483333;174;Campania;OD:127020;18887;Pietramelara;NA;NA;1
77;127030;Rotondi;14.58969444;41.02119444;498;Campania;OD:127030;18893;Rotondi;NA;NA;1
78;127040;Salerno Giovi;14.83252778;40.67488889;222;Campania;OD:127040;NA;NA;NA;NA;1
79;127050;Solofra;14.85511111;40.82366667;557;Campania;OD:127050;18933;Solofra;NA;NA;1
80;127080;Cancello Arnone;14.02808333;41.07444444;8;Campania;OD:127080;NA;NA;NA;NA;1
81;127090;Ponte Annibale;14.26;41.13072222;73;Campania;OD:127090;NA;NA;NA;NA;1
82;127100;Ponte Limatola;14.40147222;41.14719444;43;Campania;OD:127100;NA;NA;NA;NA;1
83;127110;Quattroventi;14.21241667;41.35291667;111;Campania;OD:127110;21452;Quattroventi;NA;NA;1
85;127130;Ponte Valentino;14.83602778;41.14166667;147;Campania;OD:127130;20912;Ponte Valentino;NA;NA;1
90;127210;Castel Volturno;13.93997222;41.03388889;2;Campania;OD:127210;20881;Castel Volturno;NA;NA;1
91;127220;Sele alla Foce;14.94891667;40.48116667;1;Campania;OD:127220;NA;NA;NA;NA;1
92;127230;Cologna;14.77588889;40.71919444;221;Campania;OD:127230;21521;Cologna;NA;NA;1
93;127240;Pontecagnano;14.86644444;40.64255556;26;Campania;OD:127240;21530;Pontecagnano;NA;NA;1
94;127250;Battipaglia Idro;14.98252778;40.61413889;73;Campania;OD:127250;NA;NA;NA;NA;1
95;127260;Ravello;14.61469444;40.65672222;319;Campania;OD:127260;21756;Ravello;21757;Ravello;1
98;127290;Roccamonfina;13.96822222;41.27697222;588;Campania;OD:127290;21792;Roccamonfina;22717;Roccamonfina;1
99;127300;Colle Sannita;14.83936111;41.36883333;762;Campania;OD:127300;20897;Colle Sannita;20898;Colle Sannita;1
100;127310;Castelfranco in Miscano;15.08822222;41.29952778;724;Campania;OD:127310;21785;Castelfranco in Miscano;21786;Castelfranco in Miscano;1
101;127320;Ariano Irpino;15.08541667;41.14852778;634;Campania;OD:127320;21770;Ariano Irpino;21771;Ariano Irpino;1
102;127330;Luogosano;15.00311111;40.98394444;409;Campania;OD:127330;20901;Luogosano;20902;Luogosano;1
103;127340;Pietrastornina;14.73419444;40.99269444;409;Campania;OD:127340;20905;Pietrastornina;20906;Pietrastornina;1
