SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
3;113650;S.Castrese;13.83625;41.2805;10;1;OD:113650;NA;15;NA
5;113670;Apice Calore;14.92891667;41.13008333;229;1;OD:113670;NA;15;NA
6;113680;Solopaca;14.571;41.20780556;95;1;OD:113680;NA;15;NA
7;113690;Amorosi;14.44955556;41.19577778;54;1;OD:113690;NA;15;NA
8;113700;Chianche;14.77627778;41.04797222;243;1;OD:113700;NA;15;NA
9;113740;Grazzanise;14.10547222;41.09272222;13;1;OD:113740;NA;15;NA
10;113750;Persano Sele;15.03255556;40.54433333;27;1;OD:113750;NA;15;NA
11;113760;Benevento;14.76241667;41.142;126;1;OD:113760;NA;15;NA
12;113770;Montella;15.05030556;40.84791667;513;1;OD:113770;NA;15;NA
13;113780;Paduli;14.83480556;41.14822222;147;1;OD:113780;NA;15;NA
15;113800;Castelluccio;15.33786111;40.58191667;328;1;OD:113800;NA;15;NA
16;113810;Montemarano;15.00366667;40.91425;816;1;OD:113810;NA;15;NA
17;113820;Auletta;15.42830556;40.55180556;232;1;OD:113820;NA;15;NA
18;115250;Contursi;15.22972222;40.6515;125;1;OD:115250;NA;15;NA
19;115260;Buccino;15.3905;40.60783333;181;1;OD:115260;NA;15;NA
20;115270;Ponte Calore;15.13363889;40.55372222;46;1;OD:115270;NA;15;NA
21;115280;Albanella;15.01511111;40.49713889;12;1;OD:115280;NA;15;NA
22;115290;Senerchia;15.20569444;40.73861111;525;1;OD:115290;NA;15;NA
23;117760;S.Pietro;14.786972219999999;40.81847222;225;1;OD:117760;NA;15;NA
24;117770;S.Mauro;14.63233333;40.76408333;28;1;OD:117770;NA;15;NA
25;117780;Ponte Camerelle;14.68483333;40.73425;117;1;OD:117780;NA;15;NA
26;118250;Romagnano;15.45166667;40.61183333;307;1;OD:118250;NA;15;NA
27;118260;Salvitelle;15.47;40.59730556;294;1;OD:118260;NA;15;NA
28;118270;Castel S.Lorenzo;15.24241667;40.42275;147;1;OD:118270;NA;15;NA
30;118290;Bellosguardo;15.31147222;40.42333333;514;1;OD:118290;NA;15;NA
31;121390;Sarno;14.61413889;40.8295;134;1;OD:121390;NA;15;NA
32;121400;Quindici;14.64883333;40.86472222;269;1;OD:121400;NA;15;NA
33;121410;Cetronico;14.70841667;40.80961111;266;1;OD:121410;NA;15;NA
34;121420;Piani di Prato;14.64872222;40.83488889;894;1;OD:121420;NA;15;NA
35;121430;Torriello;14.62586111;40.84752778;875;1;OD:121430;NA;15;NA
36;121640;Alife;14.33372222;41.33922222;123;1;OD:121640;NA;15;NA
37;121650;S.Angelo d'Alife;14.23647222;41.35333333;155;1;OD:121650;NA;15;NA
38;121660;Sorgenti Grassano;14.50166667;41.222;66;1;OD:121660;NA;15;NA
39;121670;Bagnoli Irpino;15.07444444;40.82730556;697;1;OD:121670;NA;15;NA
41;121720;Caposele;15.22097222;40.81613889;455;1;OD:121720;NA;15;NA
42;121730;Mercato S.Severino;14.75288889;40.77841667;139;1;OD:121730;NA;15;NA
43;121740;Pompei;14.49275;40.75669444;18;1;OD:121740;NA;15;NA
44;121800;Battipaglia;14.97575;40.61113889;73;1;OD:121800;NA;15;NA
45;125430;Contursi Meteo;15.25197222;40.676;292;1;OD:125430;NA;15;NA
46;125440;Alvignano;14.39466667;41.21825;194;1;OD:125440;NA;15;NA
47;125450;Boiara;15.24288889;40.84144444;677;1;OD:125450;NA;15;NA
48;125520;S.Felice a Cancello;14.47877778;40.99972222;561;1;OD:125520;NA;15;NA
49;125530;Melizzano;14.50527778;41.16730556;217;1;OD:125530;NA;15;NA
50;126760;Torre del Greco;14.38066667;40.79430556;136;1;OD:126760;NA;15;NA
51;126770;S.Agata dei Goti;14.49938889;41.08572222;159;1;OD:126770;NA;15;NA
52;126780;Caiazzo;14.35722222;41.17966667;178;1;OD:126780;NA;15;NA
53;126790;Liberi;14.28797222;41.22341667;489;1;OD:126790;NA;15;NA
54;126800;Caserta Vecchia;14.36822222;41.09616667;383;1;OD:126800;NA;15;NA
55;126810;Pozzuoli;14.13547222;40.82980556;128;1;OD:126810;NA;15;NA
56;126820;Napoli Camaldoli;14.19905556;40.85838889;389;1;OD:126820;NA;15;NA
57;126830;Napoli Capodimonte;14.23258333;40.86166667;215;1;OD:126830;NA;15;NA
58;126840;Forino;14.74580556;40.86005556;420;1;OD:126840;NA;15;NA
59;126850;Massa Lubrense;14.37122222;40.60541667;381;1;OD:126850;NA;15;NA
