SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
9011;08ALBARETO;ALBARETO;9.69845;44.44688;513;0;08ALBARETO;NA;8;NA
9012;08ALBARETOAGRO;ALBARETOAGRO;10.95149;44.58726;43;0;08ALBARETOAGRO;NA;8;NA
9013;08ALFONSINE;ALFONSINE;12.0445;44.49303;7;0;08ALFONSINE;NA;8;NA
9014;08ANTOGNANO;ANTOGNANO;10.19889;44.7;285;0;08ANTOGNANO;NA;8;NA
9015;08ANZOLAEMILIA;ANZOLAEMILIA;11.19651;44.55209;36;0;08ANZOLAEMILIA;NA;8;NA
9016;08ARCELLO;ARCELLO;9.40146;44.91322;366;0;08ARCELLO;NA;8;NA
9017;08ARCOVEGGIO;ARCOVEGGIO;11.34823;44.54029;36;0;08ARCOVEGGIO;NA;8;NA
9018;08ARIANO;ARIANO;12.12245;44.94304;2;0;08ARIANO;NA;8;NA
9019;08ASTACACASTIGLIO;ASTACACASTIGLIO;10.46915;44.3007;1064;0;08ASTACACASTIGLIO;NA;8;NA
9020;08BAGANZOLA;BAGANZOLA;10.31889;44.85001;41;0;08BAGANZOLA;NA;8;NA
9021;08BAGNACAVALLO;BAGNACAVALLO;11.97556;44.41695;10;0;08BAGNACAVALLO;NA;8;NA
9022;08BAGNODIPIANO;BAGNODIPIANO;11.27233;44.66545;25;0;08BAGNODIPIANO;NA;8;NA
9023;08BAGNOROMAGNA;BAGNOROMAGNA;11.96187;43.83659;523;0;08BAGNOROMAGNA;NA;8;NA
9024;08BAISO;BAISO;10.60569;44.49908;504;0;08BAISO;NA;8;NA
9025;08BALLONE;BALLONE;10.1075;44.47195;790;0;08BALLONE;NA;8;NA
9026;08BANDO;BANDO;11.90478;44.63348;1;0;08BANDO;NA;8;NA
9027;08BANNONE;BANNONE;10.36611;44.65723;169;0;08BANNONE;NA;8;NA
9028;08BANZOLA;BANZOLA;10.15472;44.68556;282;0;08BANZOLA;NA;8;NA
9029;08BARBIANO;BARBIANO;10.23581;44.66738;323;0;08BARBIANO;NA;8;NA
9030;08BARDI;BARDI;9.73281;44.6338;661;0;08BARDI;NA;8;NA
9031;08BARDICENTRALE;BARDICENTRALE;9.70956;44.61329;473;0;08BARDICENTRALE;NA;8;NA
9032;08BARIGAZZO;BARIGAZZO;10.65222;44.26667;1369;0;08BARIGAZZO;NA;8;NA
9033;08BASILICAGOIANO;BASILICAGOIANO;10.40556;44.70442;112;0;08BASILICAGOIANO;NA;8;NA
9034;08BAURA;BAURA;11.72015;44.8485;6;0;08BAURA;NA;8;NA
9035;08BAZZANO;BAZZANO;11.08399;44.50845;76;0;08BAZZANO;NA;8;NA
9036;08BEDONIA;BEDONIA;9.62672;44.50747;527;0;08BEDONIA;NA;8;NA
9037;08BEDUZZO;BEDUZZO;10.16914;44.53403;435;0;08BEDUZZO;NA;8;NA
9038;08BENEDELLOCANTON;BENEDELLOCANTON;10.86889;44.36666;520;0;08BENEDELLOCANTON;NA;8;NA
9039;08BENVIGNANTE;BENVIGNANTE;11.75596;44.66807;1;0;08BENVIGNANTE;NA;8;NA
9040;08BERCETO;BERCETO;9.98299;44.51049;731;0;08BERCETO;NA;8;NA
9041;08BERRA;BERRA;11.99771;44.9788;2;0;08BERRA;NA;8;NA
9042;08BETTOLA;BETTOLA;9.63361;44.79552;601;0;08BETTOLA;NA;8;NA
9043;08BEVILACQUA;BEVILACQUA;11.90738;44.71814;1;0;08BEVILACQUA;NA;8;NA
9044;08BOBBIANO;BOBBIANO;9.49014;44.87678;507;0;08BOBBIANO;NA;8;NA
9045;08BOBBIO;BOBBIO;9.38367;44.75512;364;0;08BOBBIO;NA;8;NA
9046;08BOCCOLONOCE;BOCCOLONOCE;9.63578;44.68404;810;0;08BOCCOLONOCE;NA;8;NA
9047;08BOGLI;BOGLI;9.21889;44.63334;854;0;08BOGLI;NA;8;NA
9048;08BOLOGNASLUCA;BOLOGNASLUCA;11.29834;44.47872;203;0;08BOLOGNASLUCA;NA;8;NA
9049;08BOLOGNAUFFID;BOLOGNAUFFID;11.34614;44.4999;45;0;08BOLOGNAUFFID;NA;8;NA
9050;08BOLOGNAURB;BOLOGNAURB;11.3392;44.48741;73;0;08BOLOGNAURB;NA;8;NA
9051;08BOMBIANA;BOMBIANA;10.97365;44.21439;778;0;08BOMBIANA;NA;8;NA
9052;08BORE;BORE;9.78828;44.71423;758;0;08BORE;NA;8;NA
