SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
1;A001;Gorgazzo sorgente;12.4967;46.0399;68;FVG;OD:A001;1
2;A002;GORGAZZO;12.4951;46.038;68;FVG;OD:A002;1
3;A003;Molinetto c/o impianto ittiogenico;12.4757;46.0111;51;FVG;OD:A003;1
4;A004;FIASCHETTI;12.4828;45.9851;33;FVG;OD:A004;1
5;A007;MARSURE BARES;12.601;46.0873;188;FVG;OD:A007;1
7;A009;VAL DEI SASS;12.4919;46.1155;1777;FVG;OD:A009;1
8;A021;SACILE PONTE LACCHIN;12.502;45.9509;24;FVG;OD:A021;1
9;A023;Ponte della Muda;12.4467;45.9476;42;FVG;OD:A023;1
10;A050;AVIANO;12.6026;46.0648;150;FVG;OD:A050;1
11;A051;AVIANO CASA MARCHI;12.622;46.0707;171;FVG;OD:A051;1
12;A100;San Cassiano;12.5349;45.8767;15;FVG;OD:A100;1
13;A101;BRUGNERA;12.5231;45.8992;15;FVG;OD:A101;1
14;A102;Tremeacque ponte destro;12.5686;45.8284;13;FVG;OD:A102;1
15;A201;TRAMONTI DI SOPRA;12.7889;46.3098;506;FVG;OD:A201;1
16;A202;TRAMONTI DI SOTTO SCUOLE NUOVE;12.7931;46.2982;373;FVG;OD:A202;1
17;A204;MALGA REST;12.7989;46.3479;1331;FVG;OD:A204;1
18;A220;CA' ZUL;12.7162;46.2922;707;FVG;OD:A220;1
19;A221;CA' SELVA;12.7008;46.2585;788;FVG;OD:A221;1
20;A223;CHIEVOLIS;12.7331;46.2539;368;FVG;OD:A223;1
21;A224;CAMPONE;12.8313;46.2595;566;FVG;OD:A224;1
22;A226;MALGA VALINE ALTA;12.6751;46.236;1350;FVG;OD:A226;1
23;A240;PONTE RACLI;12.7499;46.2412;479;FVG;OD:A240;1
24;A241;PREPLANS;12.773;46.2179;334;FVG;OD:A241;1
25;A242;BORGO CILIA;12.795;46.2259;798;FVG;OD:A242;1
26;A243;VALDESTALI;12.7572;46.2075;505;FVG;OD:A243;1
27;A244;POFFABRO;12.7095;46.2165;519;FVG;OD:A244;1
28;A260;CAVASSO NUOVO;12.7747;46.2028;263;FVG;OD:A260;1
29;A261;MANIAGO PONTE SS. 464;12.7188;46.1739;259;FVG;OD:A261;1
30;A262;FRATTA VIVAIO FORESTALE;12.727;46.1785;289;FVG;OD:A262;1
31;A263;Colle ponte SS 464;12.8151;46.1636;224;FVG;OD:A263;1
32;A264;COLLE;12.8034;46.1688;215;FVG;OD:A264;1
33;A280;ARBA;12.8043;46.1435;205;FVG;OD:A280;1
34;A281;Tesis;12.7889;46.1251;181;FVG;OD:A281;1
35;A300;Ponte Meduna;12.6993;45.946;24;FVG;OD:A300;1
36;A301;PORDENONE LOCALITA' TORRE;12.6727;45.9682;29;FVG;OD:A301;1
37;A302;PORDENONE SEDE C.B.C.M.;12.6579;45.9635;31;FVG;OD:A302;1
38;A303;PORDENONE CAMPO ATLETICA;12.6498;45.9588;31;FVG;OD:A303;1
39;A304;Pordenone ponte via Santissima;12.659;45.9518;23;FVG;OD:A304;1
40;A320;Prata di Sopra;12.6025;45.9033;17;FVG;OD:A320;1
41;A321;Visinale di Sopra;12.6144;45.9029;17;FVG;OD:A321;1
42;A322;VISINALE PONTE FERRO;12.605;45.8978;17;FVG;OD:A322;1
43;A323;Prata di Pordenone;12.6035;45.8985;17;FVG;OD:A323;1
44;A324;Tremeacque ponte sinistro;12.5702;45.8283;13;FVG;OD:A324;1
45;A325;PORCIA RONDOVER;12.6141;45.9221;19;FVG;OD:A325;1
46;A400;CIMOLAIS CANONICA;12.4383;46.288;648;FVG;OD:A400;1
47;A401;CIMOLAIS PONTE SS. 251;12.4408;46.2857;648;FVG;OD:A401;1
48;A402;CLAUT;12.5147;46.2675;678;FVG;OD:A402;1
49;A403;LESIS;12.5445;46.2721;724;FVG;OD:A403;1
50;A409;BALDASS;12.5732;46.2425;1689;FVG;OD:A409;1
51;A410;CASERA PODESTINE;12.6014;46.2973;1146;FVG;OD:A410;1
52;A411;CASERA PRADUT;12.5643;46.2562;1393;FVG;OD:A411;1
53;A413;Val Settimana briglia;12.5001;46.2827;811;FVG;OD:A413;1
54;A414;FORCELLA SAVALONS;12.4868;46.3498;1929;FVG;OD:A414;1
55;A415;RIFUGIO PORDENONE;12.4893;46.3788;1216;FVG;OD:A415;1
56;A416;RIFUGIO PUSSA;12.59;46.345;1054;FVG;OD:A416;1
57;A417;CLAUT TRE PINI;12.5003;46.2635;636;FVG;OD:A417;1
58;A418;CELLINO DI SOPRA;12.4714;46.2465;547;FVG;OD:A418;1
59;A422;PRESCUDIN VILLA EMMA;12.4892;46.1927;650;FVG;OD:A422;1
60;A424;Arcola ponte per Prescudin;12.5156;46.2026;538;FVG;OD:A424;1
61;A425;Casa Fasolera;12.5423;46.1944;547;FVG;OD:A425;1
63;A440;PIANCAVALLO PISTA DI FONDO;12.5217;46.1133;1281;FVG;OD:A440;1
64;A461;BARCIS PONTE ANTOI;12.5749;46.1881;497;FVG;OD:A461;1
65;A462;BARCIS BORDO LAGO;12.5599;46.1897;432;FVG;OD:A462;1
66;A463;BARCIS STAZIONE FORESTALE;12.5637;46.1929;612;FVG;OD:A463;1
67;A464;ANDREIS PIAZZOLA CAMPEGGIO;12.612;46.1989;449;FVG;OD:A464;1
68;A467;PALA BARZANA;12.6592;46.1959;860;FVG;OD:A467;1
69;A468;DIGA CELLINA;12.5972;46.1879;545;FVG;OD:A468;1
70;A469;RAVEDIS INVASO;12.6566;46.1719;392;FVG;OD:A469;1
71;A470;Vajont argine Cellina;12.6815;46.1478;269;FVG;OD:A470;1
72;A471;Prapiero ponte svincolo gallerie;12.6039;46.1953;450;FVG;OD:A471;1
73;A472;Val Pentina casa Bimbo;12.5369;46.1874;490;FVG;OD:A472;1
74;A480;SAN LEONARDO VALCELLINA PARTIDOR;12.7058;46.0983;214;FVG;OD:A480;1
75;A600;LA CROSETTA;12.4052;46.0353;1132;FVG;OD:A600;1
76;A601;VAL SUGHET;12.5041;46.1193;1770;FVG;OD:A601;1
77;A603;CANDAGLIA;12.4428;46.0641;1288;FVG;OD:A603;1
78;A610;LUOGO DI GIULIO;12.7117;46.1396;269;FVG;OD:A610;1
79;A620;SAN QUIRINO LA ROIATA;12.6398;46.0166;109;FVG;OD:A620;1
80;A621;SAN QUIRINO OFFICINA C.B.C.M.;12.6312;46.0318;122;FVG;OD:A621;1
81;A622;SAN MARTINO DI CAMPAGNA;12.6441;46.0785;188;FVG;OD:A622;1
82;A623;RAUSCEDO STAZIONE DI POMPAGGIO C.B.C.M.;12.8244;46.0657;109;FVG;OD:A623;1
83;A624;BASALDELLA DI VIVARO;12.7906;46.0882;139;FVG;OD:A624;1
84;A625;SAN LEONARDO VALCELLINA;12.6824;46.0982;220;FVG;OD:A625;1
