SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName_CentroFunzionale;FullSiteCode;Elevation_flag
239;108300;Aniene a Lunghezza;12.6675;41.9272;32;Lazio;Lunghezza;OD:108300;1
240;111600;Roma Macao;12.5072;41.9039;56;Lazio;Roma Macao;OD:111600;1
243;119600;Aniene a Ponte Lucano;12.7631;41.9558;53;Lazio;Aniene a Ponte Lucano;OD:119600;1
249;138400;Aniene a Marano Equo;13.0214;41.9939;368;Lazio;Marano Equo;OD:138400;1
253;140300;Aniene a Subiaco;13.0931;41.9228;437;Lazio;Subiaco;OD:140300;1
254;140900;Rio Galeria;12.3419;41.8169;28;Lazio;Rio Galeria;OD:140900;1
258;143200;Aniene a Centrale Acquoria;12.7853;41.9631;116;Lazio;Aniene a Centrale Acquoria;OD:143200;1
260;153400;Castello Vici;12.2792;42.0961;173;Lazio;Castello Vici;OD:153400;1
261;163800;Fosso Cremera a Labaro;12.4931;41.9872;18;Lazio;Fosso Cremera a Labaro;OD:163800;1
262;163900;Fosso Corese a Passo Corese;12.6522;42.1517;39;Lazio;Fosso Corese a Passo Corese;OD:163900;1
263;164000;Nerola;12.7872;42.1611;333;Lazio;Nerola;OD:164000;1
264;1800;La Storta;12.3778;42.0039;161;Lazio;La Storta;OD:1800;1
265;185400;Fosso di Pratolungo;12.5989;41.9364;22;Lazio;Pratolungo;OD:185400;1
267;1900;Flaminio;12.4561;42.0083;67;Lazio;Flaminio;OD:1900;1
268;192100;Fondi;13.4189;41.3422;7;Lazio;Fondi;OD:192100;1
269;198900;Moscarello a Borgo S Maria;12.8117;41.4631;18;Lazio;Borgo S Maria;OD:198900;1
270;199100;Arrone a Maccarese;12.2333;41.8825;10;Lazio;Maccarese;OD:199100;1
271;199200;Fiora a Pitigliano;11.5989;42.5936;166;Lazio;Fiora a Pitigliano;OD:199200;1
272;199300;Fiora a Montalto di Castro;11.5992;42.3539;11;Lazio;Fiora a Montalto di Castro;OD:199300;1
273;199400;Marta a Tarquinia;11.7425;42.2569;50;Lazio;Tarquinia;OD:199400;1
274;199500;Montefiascone;12.0228;42.53;516;Lazio;Montefiascone;OD:199500;1
275;199600;Allumiere;11.9086;42.1578;568;Lazio;Allumiere;OD:199600;1
276;199700;Civitavecchia;11.7853;42.0967;7;Lazio;Civitavecchia;OD:199700;1
278;199900;Bracciano;12.175;42.1019;214;Lazio;Bracciano;OD:199900;1
279;2000;Roma Nord;12.4956;41.9619;16;Lazio;Roma Nord;OD:2000;1
280;200400;Abbadia S Salvatore;11.6692;42.8942;817;Lazio;Abbadia S Salvatore;OD:200400;1
281;200600;Leonessa;12.9536;42.5786;929;Lazio;Leonessa;OD:200600;1
282;200800;Posticciola;12.9419;42.2336;626;Lazio;Posticciola;OD:200800;1
283;200900;Poggio Mirteto;12.6953;42.27;353;Lazio;Poggio Mirteto;OD:200900;1
285;201200;Ardea;12.5369;41.6117;22;Lazio;Ardea;OD:201200;1
288;201500;Amaseno a Fossanova;13.1944;41.4333;24;Lazio;Fossanova;OD:201500;1
289;201600;Latina;12.9058;41.4714;17;Lazio;Latina;OD:201600;1
291;2100;Ottavia;12.4114;41.9542;120;Lazio;Ottavia;OD:2100;1
292;2200;Capannacce;12.6425;41.9394;62;Lazio;Capannacce;OD:2200;1
293;2300;Acqua Acetosa;12.4944;41.9364;33;Lazio;Acqua Acetosa;OD:2300;1
294;2400;Monte Mario;12.4419;41.9297;114;Lazio;Monte Mario;OD:2400;1
307;2500;Roma Est;12.5789;41.9219;21;Lazio;Roma Est;OD:2500;1
309;2700;Cassiodoro;12.4672;41.9064;17;Lazio;Cassiodoro;OD:2700;1
313;2800;Eleniano;12.5153;41.8903;41;Lazio;Eleniano;OD:2800;1
315;2900;Aurelio;12.4275;41.8781;64;Lazio;Aurelio;OD:2900;1
316;3000;Regillo;12.7408;41.8725;74;Lazio;Regillo;OD:3000;1
317;3100;Ostiense;12.4842;41.8758;21;Lazio;Ostiense;OD:3100;1
318;3200;Fregene;12.1903;41.8564;2;Lazio;Fregene;OD:3200;1
320;325200;Aniene a Ponte Mammolo;12.5683;41.9233;23;Lazio;Aniene a Ponte Mammolo;OD:325200;1
321;3300;Casilino;12.5486;41.8717;40;Lazio;Casilino;OD:3300;1
322;3400;Eur;12.4969;41.8236;42;Lazio;Eur;OD:3400;1
323;3500;Ponte Galeria Acea;12.3519;41.8258;39;Lazio;Ponte Galeria Acea;OD:3500;1
324;354400;Castel Cellesi;12.1608;42.5861;327;Lazio;Castel Cellesi;OD:354400;1
