SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
1;AIRO0;Airole;7.54478;43.87309;208;1;OD:AIRO0;NA;7;NA
2;ALASS;Alassio;8.1693;44.00624;12;1;OD:ALASS;NA;7;NA
3;ALBG0;Albenga;8.21262;44.04899;10;1;OD:ALBG0;NA;7;NA
4;ALPI0;Alpicella;8.52604;44.40667;440;1;OD:ALPI0;NA;7;NA
6;ALSS0;Alassio;8.1693;44.00624;12;1;OD:ALSS0;NA;7;NA
7;AMERE;Merelli;7.84759;43.88137;130;1;OD:AMERE;NA;7;NA
8;ARDI0;Colonia Arnaldi;9.18148;44.4084;494;1;OD:ARDI0;NA;7;NA
9;AREN0;Arenzano;8.67859;44.40416;36;1;OD:AREN0;NA;7;NA
10;ARL20;Arlia;10.13459;44.26209;481;1;OD:ARL20;NA;7;NA
11;ARLI0;Arlia;10.13459;44.26209;481;1;OD:ARLI0;NA;7;NA
13;ARNAL;Colonia Arnaldi;9.18148;44.4084;494;1;OD:ARNAL;NA;7;NA
14;ARPO0;Pogli d'Ortovero;8.06393;44.05445;126;1;OD:ARPO0;NA;7;NA
15;AULL0;Aulla;9.96913;44.2073;108;1;OD:AULL0;NA;7;NA
17;AULS0;Soliera;10.06217;44.20281;177;1;OD:AULS0;NA;7;NA
18;BAGN0;Bagnone;10;44.32;358;1;OD:BAGN0;NA;7;NA
19;BAL20;Balestrino;8.16945;44.12362;279;1;OD:BAL20;NA;7;NA
20;BALE0;Balestrino;8.16945;44.12362;279;1;OD:BALE0;NA;7;NA
21;BATT0;Piana Battolla;9.8515;44.19247;53;1;OD:BATT0;NA;7;NA
24;BESTA;Bestagno;8.0007;43.9333;143;1;OD:BESTA;NA;7;NA
25;BGNN0;Bagnone;9.99485;44.31629;326;1;OD:BGNN0;NA;7;NA
26;BGNNE;Bagnone;10;44.32;358;1;OD:BGNNE;NA;7;NA
27;BLPR0;La Presa;9.04709;44.44088;290;1;OD:BLPR0;NA;7;NA
28;BMAR0;Borgomaro;7.94569;43.97685;323;1;OD:BMAR0;NA;7;NA
29;BOLA0;Bola di Tresana;9.89667;44.23423;394;1;OD:BOLA0;NA;7;NA
30;BOLS0;Bolsine;8.57322;44.37234;78;1;OD:BOLS0;NA;7;NA
31;BOLZ0;Bolzaneto;8.8949;44.45391;66;1;OD:BOLZ0;NA;7;NA
32;BOLZA;Genova - Bolzaneto;8.89561;44.4553;66;1;OD:BOLZA;NA;7;NA
34;BRAC0;Baracca Bracco;9.57999;44.24489;616;1;OD:BRAC0;NA;7;NA
35;BRUG0;Brugneto Diga;9.20492;44.53634;777;1;OD:BRUG0;NA;7;NA
38;BSLL0;Busalla;8.94892;44.5697;361;1;OD:BSLL0;NA;7;NA
39;BSTG0;Bestagno;8.00035;43.9341;143;1;OD:BSTG0;NA;7;NA
40;BTOR0;Torri;7.5538;43.83784;168;1;OD:BTOR0;NA;7;NA
41;BTRS0;Genova - Bolzaneto;8.89561;44.4553;66;1;OD:BTRS0;NA;7;NA
44;BVARA;Brugnato;9.71552;44.23132;124;1;OD:BVARA;NA;7;NA
45;CABA0;Cabanne;9.35222;44.48333;974;1;OD:CABA0;NA;7;NA
47;CADE0;Caderiva;8.94755;44.42636;65;1;OD:CADE0;NA;7;NA
48;CAGT0;Calvo;7.5549;43.82936;104;1;OD:CAGT0;NA;7;NA
49;CAIR0;Cairo Montenotte;8.27494;44.38331;348;1;OD:CAIR0;NA;7;NA
51;CALA0;Calamazza;9.95015;44.19802;131;1;OD:CALA0;NA;7;NA
52;CALAM;Calamazza;9.95015;44.19802;131;1;OD:CALAM;NA;7;NA
55;CALV0;Calvo;7.5549;43.82936;104;1;OD:CALV0;NA;7;NA
56;CANE0;Canellona;8.73;44.45;346;1;OD:CANE0;NA;7;NA
57;CARAS;Carasco;9.34825;44.34615;39;1;OD:CARAS;NA;7;NA
58;CARRE;Ponte Carrega;8.96;44.44;62;1;OD:CARRE;NA;7;NA
60;CASR0;Casarza Ligure;9.45258;44.29405;233;1;OD:CASR0;NA;7;NA
62;CAST0;Castelvecchio di R. B.;8.11853;44.12951;513;1;OD:CAST0;NA;7;NA
65;CCAS0;Castiglione Chiavarese;9.51734;44.27501;388;1;OD:CCAS0;NA;7;NA
66;CCHE0;Cichero;9.32118;44.41704;605;1;OD:CCHE0;NA;7;NA
68;CCOR0;Calice al Cornoviglio;9.83881;44.24392;426;1;OD:CCOR0;NA;7;NA
70;CCORN;Calice al Cornoviglio;9.83881;44.24392;426;1;OD:CCORN;NA;7;NA
71;CEMBR;Cembrano;9.58414;44.35237;367;1;OD:CEMBR;NA;7;NA
73;CERN0;Ceriana;7.77382;43.8809;398;1;OD:CERN0;NA;7;NA
75;CFSC0;Crocefieschi;9.02269;44.58405;764;1;OD:CFSC0;NA;7;NA
76;CFUNZ;Genova - Centro Funzionale;8.94591;44.40035;45;1;OD:CFUNZ;NA;7;NA
77;CHGA0;Chiesanuova Garibaldo;9.41745;44.35466;227;1;OD:CHGA0;NA;7;NA
