SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
1;ABBIATEGRASSO;Abbiategrasso;8.92700011;45.39499597;118;Lombardia;OD:ABBIATEGRASSO;1
2;AGARO;Agaro;8.30196405;46.31736335;2332;Lombardia;OD:AGARO;1
3;AIROLO;Airolo;8.61864821;46.53403514;1377;Lombardia;OD:AIROLO;1
4;ALPE_GERA;Alpe_Gera;9.94571565;46.31296617;2182;Lombardia;OD:ALPE_GERA;1
5;ALPINO;Alpino;8.50197122;45.86734937;725;Lombardia;OD:ALPINO;1
6;ANGOLO_TERME;Angolo_Terme;10.13538296;45.90067774;507;Lombardia;OD:ANGOLO_TERME;1
7;APRICA;Aprica;10.14712227;46.1535925;1264;Lombardia;OD:APRICA;1
8;ARDENNO;Ardenno;9.64297001;46.15645459;317;Lombardia;OD:ARDENNO;1
9;ARNOGA;Arnoga;10.25340583;46.49092695;1751;Lombardia;OD:ARNOGA;1
10;ASSO;Asso;9.26203741;45.86992384;552;Lombardia;OD:ASSO;1
11;AZZATE;Azzate;8.79938835;45.77982168;325;Lombardia;OD:AZZATE;1
13;BARBELLINO;Barbellino;10.04260118;46.06457175;1867;Lombardia;OD:BARBELLINO;1
14;BELLAGIO;Bellagio;9.24504414;45.97196193;271;Lombardia;OD:BELLAGIO;1
15;BELLANO;Bellano;9.30046994;46.04177736;243;Lombardia;OD:BELLANO;1
16;BELLINZONA;Bellinzona;9.00755512;46.20068746;540;Lombardia;OD:BELLINZONA;1
17;BEREGUARDO;Bereguardo;9.02539245;45.25889643;97;Lombardia;OD:BEREGUARDO;1
18;BERGAMO;Bergamo-San_Fermo;9.68621101;45.70190143;260;Lombardia;OD:BERGAMO;1
19;BESSIMO;Bessimo;10.15604045;45.87060792;224;Lombardia;OD:BESSIMO;1
20;BIENNO;Bienno;10.28942114;45.93988682;444;Lombardia;OD:BIENNO;1
21;BORCA_MACUGNAGA;Borca_Macugnaga;7.98527845;45.96735327;1892;Lombardia;OD:BORCA_MACUGNAGA;1
22;BORGOFORTE;Borgoforte;10.75573116;45.04537905;18;Lombardia;OD:BORGOFORTE;1
23;BORGOMANERO;Borgomanero;8.460835;45.70500256;313;Lombardia;OD:BORGOMANERO;1
24;BORGONATO;Borgonato;10.00531432;45.61231285;210;Lombardia;OD:BORGONATO;1
25;BORMIO;Bormio;10.36903901;46.4754885;1469;Lombardia;OD:BORMIO;1
26;BORNO;Borno;10.23538749;45.9340112;539;Lombardia;OD:BORNO;1
27;BOTTE_S_SECCHIA;Botte_Sotto_Secchia;11.00207231;45.05066313;16;Lombardia;OD:BOTTE_S_SECCHIA;1
28;BOVEGNO_S;Bovegno_s;10.25673793;45.81453296;1075;Lombardia;OD:BOVEGNO_S;1
29;BREMBATE_SOTTO;Brembate_Sotto;9.552018;45.60067474;174;Lombardia;OD:BREMBATE_SOTTO;1
30;BREMBILLA;Brembilla;9.59091036;45.81734359;525;Lombardia;OD:BREMBILLA;1
31;BRENO_MALEGNO;Breno_Malegno;10.30308626;45.95820038;309;Lombardia;OD:BRENO_MALEGNO;1
32;BRESCIA;Brescia_-_ITAS_pastori_(ersaf);10.26125937;45.5251901;215;Lombardia;OD:BRESCIA;1
33;BUSTO_ARSIZIO;Busto_Arsizio_-_via_Rossini;8.83096769;45.63271118;233;Lombardia;OD:BUSTO_ARSIZIO;1
34;CA_PIZZINI_ARMI;Case_Pizzini_Armisa;9.99452502;46.12096686;1211;Lombardia;OD:CA_PIZZINI_ARMI;1
35;CADARESE;Cadarese;8.38530169;46.30069552;1558;Lombardia;OD:CADARESE;1
36;CALCIO;Calcio;9.86837121;45.49443614;108;Lombardia;OD:CALCIO;1
37;CALOLZIOCORTE;Calolziocorte;9.43832967;45.79784548;257;Lombardia;OD:CALOLZIOCORTE;1
38;CAMPO_MORO;Campo_Moro_-_Lanzada;9.92694685;46.30557368;1976;Lombardia;OD:CAMPO_MORO;1
39;CAMPODOLCINO_CA;Campodolcino_(C.Adda);9.35201999;46.40069007;1241;Lombardia;OD:CAMPODOLCINO_CA;1
40;CAMPOSECCO;Camposecco;8.05195092;46.06735597;2515;Lombardia;OD:CAMPOSECCO;1
41;CANNOBIO;Cannobio;8.69583109;46.05833438;205;Lombardia;OD:CANNOBIO;1
43;CANTU;Cantu;9.13533271;45.73401295;344;Lombardia;OD:CANTU;1
44;CAPRIOLO;Capriolo;9.91612973;45.64780616;204;Lombardia;OD:CAPRIOLO;1
45;CARATE_BRIANZA;Carate_Brianza;9.2355598;45.67581645;241;Lombardia;OD:CARATE_BRIANZA;1
46;CARONA;Carona;9.78209437;46.01922134;1181;Lombardia;OD:CARONA;1
47;CASALMAGGIORE;Casalmaggiore;10.42518353;44.97532693;25;Lombardia;OD:CASALMAGGIORE;1
48;CASARILE_BINASC;Casarile_di_Binasco;9.10641501;45.31826347;99;Lombardia;OD:CASARILE_BINASC;1
