SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;Comments;Elevation_flag
5;5;Camponocecchio;12.980329;43.406441;189;Marche;Camponocecchio;Camponocecchio;OD:5;Camponocecchio;Genga;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
7;7;Montepolesco;13.388394;43.475643;84;Marche;Montepolesco;Montepolesco;OD:7;Montepolesco;Osimo;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
9;9;San Severino Marche;13.188516;43.229492;220;Marche;San Severino Marche;San Severino Marche;OD:9;San Severino Marche;San Severino Marche;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
12;12;Morrovalle;13.590132;43.260944;58;Marche;Morrovalle;Morrovalle;OD:12;Villa San Filippo;Monte San Giusto;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
14;14;S. Maria in Arzilla;12.894738;43.839886;53;Marche;S. Maria in Arzilla;S. Maria in Arzilla;OD:14;Santa Maria in Arzilla;Pesaro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
15;15;Ca' Mazzasette;12.618737;43.794472;112;Marche;Ca' Mazzasette;Ca' Mazzasette;OD:15;Ca' Mazzasette;Montecalvo in Foglia;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
16;16;Montelabbate;12.786904;43.851849;43;Marche;Montelabbate;Montelabbate;OD:16;Montecchio;Montelabbate;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
17;17;Calcinelli;12.967556;43.762669;36;Marche;Calcinelli;Calcinelli;OD:17;Lucrezia;Cartoceto;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
18;18;San Michele al Fiume;13.014565;43.664974;92;Marche;San Michele al Fiume;San Michele al Fiume;OD:18;San Michele al Fiume;Mondavio;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
19;19;Servigliano;13.498032;43.085857;197;Marche;Servigliano;Servigliano;OD:19;Piane di Falerone;Servigliano;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
20;20;S. Maria Goretti;13.711752;42.96804;130;Marche;S. Maria Goretti;S. Maria Goretti;OD:20;Santa Maria Goretti;Offida;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
22;22;Ete Caldarette;13.713136;43.135853;48;Marche;Ete Caldarette;Ete Caldarette;OD:22;Ete Caldarette;Fermo;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
25;25;Ascoli Piceno;13.651516;42.852242;78;Marche;Ascoli Piceno;Ascoli Piceno;OD:25;Brecciarolo;Ascoli Piceno;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
26;26;Bettolelle;13.164999;43.662659;26;Marche;Bettolelle;Bettolelle;OD:26;Bettolelle;Senigallia;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
29;29;Pesaro;12.89771;43.907555;9;Marche;Pesaro;Pesaro;OD:29;Pesaro;Pesaro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
30;30;Monte Grimano Terme;12.464517;43.847809;362;Marche;Monte Grimano Terme;Monte Grimano Terme;OD:30;Valle di Teva;Monte Grimano Terme;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
31;31;Sassofeltrio;12.528898;43.883831;221;Marche;Sassofeltrio;Sassofeltrio;OD:31;Fratte;Sassofeltrio;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
101;101;Sant'Angelo in Vado;12.410222;43.666889;352;Marche;Sant'Angelo in Vado;Sant'Angelo in Vado;OD:101;S. Angelo in Vado;Sant'Angelo in Vado;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
102;102;Sassocorvaro;12.512582;43.808586;173;Marche;Sassocorvaro;Sassocorvaro;OD:102;Bronzo;Sassocorvaro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
103;103;Petriano;12.7072;43.781498;122;Marche;Petriano;Petriano;OD:103;Gallo;Petriano;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
104;104;Urbino;12.636861;43.723278;471;Marche;Urbino;Urbino;OD:104;Urbino;Urbino;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
106;106;Acqualagna;12.6845;43.628277;193;Marche;Acqualagna;Acqualagna;OD:106;Ponte di Ferro;Acqualagna;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
107;107;Apecchio;12.430395;43.562126;465;Marche;Apecchio;Apecchio;OD:107;Molino Mancino;Apecchio;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
108;108;Pergola;12.844062;43.568672;242;Marche;Pergola;Pergola;OD:108;Pergola;Pergola;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
