SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Comments;Elevation_flag
1;178300;Castropignano Idro;14.56;41.59;411;Molise;OD:178300;NA;1
2;192200;Roccamandolfi;14.35;41.49;779;Molise;OD:192200; ** Serie di temperatura fornita come file Excel dal Centro Funzionale;0
3;197200;Campobasso Meteo;14.65;41.54;766;Molise;OD:197200; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
4;198600;Trivento;14.54;41.76;510;Molise;OD:198600; ** Serie di temperatura fornita come file Excel dal Centro Funzionale;0
5;198700;Castelmauro;14.72;41.83;649;Molise;OD:198700; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
6;198800;Gambatesa;14.91;41.5;577;Molise;OD:198800; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
7;263900;Pietrabbondante;14.38;41.74;1030;Molise;OD:263900;NA;1
8;264000;Palata;14.78;41.88;487;Molise;OD:264000; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
9;264100;Termoli;15.99;41.97;90;Molise;OD:264100; ** Serie di temperatura fornita come file Excel dal Centro Funzionale;0
10;264200;Bonefro;14.92;41.7;681;Molise;OD:264200;NA;1
11;264300;Frosolone;14.44;41.6;941;Molise;OD:264300;NA;1
39;456400;Campitello Matese;14.38;41.45;1498;Molise;OD:456400; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
40;463200;Lucito Biferno;14.69;41.71;316;Molise;OD:463200;NA;1
41;463600;Campochiaro Quirino;14.54;41.47;508;Molise;OD:463600;NA;1
42;466800;Mafalda;14.7;41.94;396;Molise;OD:466800;NA;1
43;481500;Ponte Liscione;14.85;41.82;113;Molise;OD:481500;NA;1
48;57200;Capracotta;14.27;41.83;1395;Molise;OD:57200; ** Serie di prec/temperatura fornita come file Excel dal Centro Funzionale;0
49;57800;Ponte Caprafica;14.63;41.89;217;Molise;OD:57800;NA;1
50;58600;Altopantano;14.99;41.92;19;Molise;OD:58600;NA;1
