SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
1;1;COLLE LOMBARDA;7.147733;44.207915;2334;Piemonte;OD:001;1
2;10;FORMAZZA;8.358262;46.433411;2385;Piemonte;OD:010;1
3;101;ACQUI TERME;8.479704;44.678664;198;Piemonte;OD:101;1
4;102;PRALORMO;7.912513;44.853681;307;Piemonte;OD:102;1
5;103;MONTALDO SCARAMPI;8.259033;44.829305;226;Piemonte;OD:103;1
6;105;LUSERNA S. GIOVANNI;7.241162;44.812815;488;Piemonte;OD:105;1
7;106;MONTE MALANOTTE;7.793629;44.259454;1506;Piemonte;OD:106;1
8;107;BOVES;7.562019;44.335107;573;Piemonte;OD:107;1
9;108;MONTE FRAITEVE;6.861176;44.976889;2494;Piemonte;OD:108;1
10;109;CUMIANA;7.390844;44.9637;325;Piemonte;OD:109;1
11;110;VEROLENGO;8.01098;45.185042;165;Piemonte;OD:110;1
12;111;LANZO;7.492759;45.2888;565;Piemonte;OD:111;1
13;112;ALBANO VERCELLESE;8.388335;45.437997;155;Piemonte;OD:112;1
14;113;BORGOFRANCO D'IVREA;7.847817;45.514302;282;Piemonte;OD:113;1
15;114;CAMERI;8.693801;45.548011;152;Piemonte;OD:114;1
16;115;ALESSANDRIA LOBBI;8.704011;44.937081;88;Piemonte;OD:115;1
17;116;MOMBARCARO;8.085443;44.468365;731;Piemonte;OD:116;1
18;117;DOMODOSSOLA;8.302292;46.103003;255;Piemonte;OD:117;1
19;118;MOTTARONE;8.453694;45.881619;1366;Piemonte;OD:118;1
20;119;CASALE MONFERRATO;8.504171;45.13224;105;Piemonte;OD:119;1
21;12;BARDONECCHIA PRANUDIN;6.704337;45.104594;1993;Piemonte;OD:012;1
22;120;PINO TORINESE;7.765183;45.04134;490;Piemonte;OD:120;1
23;121;CAPANNE DI COSOLA;9.200151;44.675551;1449;Piemonte;OD:121;1
24;122;COLLE SAN BERNARDO;8.047958;44.178048;913;Piemonte;OD:122;1
25;123;OROPA;7.981253;45.626759;1222;Piemonte;OD:123;1
26;124;MEUGLIANO;7.781619;45.473686;638;Piemonte;OD:124;1
27;125;BERTODASCO;7.409723;45.439409;855;Piemonte;OD:125;1
28;126;NERAISSA;7.151676;44.324612;1343;Piemonte;OD:126;1
29;127;PONZONE BRIC BERTON;8.539126;44.518414;681;Piemonte;OD:127;1
30;128;VARZO;8.193045;46.249606;1763;Piemonte;OD:128;1
31;129;DRUOGNO;8.426022;46.134148;924;Piemonte;OD:129;1
32;130;BORGOMANERO;8.460267;45.688235;299;Piemonte;OD:130;1
33;131;POIRINO BANNA;7.829636;44.923986;239;Piemonte;OD:131;1
34;132;VARALLO;8.273839;45.819585;592;Piemonte;OD:132;1
35;133;ACCEGLIO;6.981433;44.485154;1645;Piemonte;OD:133;1
36;135;SEROLE BRIC PUSCHERA;8.258215;44.563002;766;Piemonte;OD:135;1
37;136;PERLO;8.083452;44.3303;754;Piemonte;OD:136;1
38;137;SOMANO;8.017379;44.540937;625;Piemonte;OD:137;1
39;138;ASTI TANARO;8.212291;44.884886;116;Piemonte;OD:138;1
40;139;MONTECHIARO D'ASTI;8.101097;45.00704;225;Piemonte;OD:139;1
41;140;COSTIGLIOLE SALUZZO;7.495934;44.557648;442;Piemonte;OD:140;1
42;141;CAPANNE MARCAROLO;8.768246;44.563186;735;Piemonte;OD:141;1
43;142;AVIGLIANA;7.394816;45.093913;342;Piemonte;OD:142;1
44;143;BORGONE;7.243961;45.11643;426;Piemonte;OD:143;1
45;146;PIETRASTRETTA;7.054042;45.14194;732;Piemonte;OD:146;1
46;148;FINIERE;6.966265;45.116951;1041;Piemonte;OD:148;1
47;149;VAL CLAREA;6.964779;45.141211;1188;Piemonte;OD:149;1
48;150;SALBERTRAND;6.894004;45.071209;1150;Piemonte;OD:150;1
49;151;GAD;6.840287;45.042714;1101;Piemonte;OD:151;1
50;152;PRERICHARD;6.716423;45.075005;1358;Piemonte;OD:152;1
51;154;ALPE DEVERO;8.260078;46.31601;1652;Piemonte;OD:154;1
52;156;CRODO;8.323771;46.22655;558;Piemonte;OD:156;1
53;157;PIZZANCO;8.17777;46.124028;1015;Piemonte;OD:157;1
54;158;SAUZE CESANA;6.918892;44.894544;1954;Piemonte;OD:158;1
55;159;CURSOLO;8.56737;46.098716;733;Piemonte;OD:159;1
56;160;ALPE CHEGGIO;8.115682;46.085088;1617;Piemonte;OD:160;1
57;162;ANZINO;8.155971;45.986732;623;Piemonte;OD:162;1
58;174;CASTELL'ALFERO;8.222917;44.988121;143;Piemonte;OD:174;1
59;175;VIGNALE MONFERRATO;8.408355;45.018353;173;Piemonte;OD:175;1
60;176;SAN SALVATORE MONFERRATO;8.566458;44.99294;199;Piemonte;OD:176;1
61;177;MASIO TANARO;8.41062;44.871552;108;Piemonte;OD:177;1
62;178;ALESSANDRIA BORMIDA;8.645525;44.905515;91;Piemonte;OD:178;1
63;180;SANTENA BANNA;7.782001;44.944598;236;Piemonte;OD:180;1
64;182;CARCOFORO;8.050604;45.907224;1378;Piemonte;OD:182;1
65;185;RASSA;8.016379;45.769478;1085;Piemonte;OD:185;1
66;188;PRAY SESSERA;8.221645;45.674006;504;Piemonte;OD:188;1
67;189;TRIVERO;8.147638;45.67499;1045;Piemonte;OD:189;1
68;19;LE SELLE;6.917355;45.05439;2161;Piemonte;OD:019;1
69;191;PIEDICAVALLO;7.956293;45.689378;1108;Piemonte;OD:191;1
70;195;CARMAGNOLA;7.686048;44.886173;234;Piemonte;OD:195;1
71;198;VERCELLI;8.389506;45.324569;132;Piemonte;OD:198;1
72;2;PIAN DELLE BARACCHE;7.133438;44.548832;2282;Piemonte;OD:002;1
73;20;RIFUGIO VACCARONE;6.916494;45.154212;2677;Piemonte;OD:020;1
74;200;PALESTRO SESIA;8.540152;45.284985;115;Piemonte;OD:200;1
75;201;MASSERANO;8.255167;45.55791;239;Piemonte;OD:201;1
76;203;CALIZZANO;8.118399;44.236251;681;Piemonte;OD:203;1
77;204;SAN DAMIANO BORBORE;8.081626;44.841978;153;Piemonte;OD:204;1
78;207;NIZZA MONFERRATO;8.345925;44.76457;139;Piemonte;OD:207;1
79;208;CAMERANA BORMIDA;8.156941;44.43601;417;Piemonte;OD:208;1
80;209;TONENGO;8.005533;45.115502;413;Piemonte;OD:209;1
81;211;CREA;8.277696;45.093703;236;Piemonte;OD:211;1
82;212;BASALUZZO;8.680974;44.762;133;Piemonte;OD:212;1
83;213;ARQUATA SCRIVIA;8.880944;44.682533;320;Piemonte;OD:213;1
84;216;ISOLA S. ANTONIO PO;8.821952;45.036157;73;Piemonte;OD:216;1
85;217;CASTELLAR PONZANO;8.846694;44.827294;151;Piemonte;OD:217;1
86;218;MONTECASTELLO TANARO;8.684428;44.946679;87;Piemonte;OD:218;1
87;219;CASTELLANIA;8.931128;44.798542;371;Piemonte;OD:219;1
88;220;ISOLA S. ANTONIO;8.85382;45.020719;76;Piemonte;OD:220;1
89;221;GUAZZORA SCRIVIA;8.876344;45.028686;75;Piemonte;OD:221;1
90;222;ROCCAFORTE LIGURE;9.023012;44.678587;760;Piemonte;OD:222;1
91;225;NOVI LIGURE;8.757333;44.785621;168;Piemonte;OD:225;1
92;226;BASALUZZO ORBA;8.671694;44.767492;125;Piemonte;OD:226;1
93;227;BRIGNANO FRASCATA;9.030282;44.803213;433;Piemonte;OD:227;1
94;228;FRACONALTO;8.879731;44.591896;640;Piemonte;OD:228;1
95;229;SARDIGLIANO;8.906681;44.756115;266;Piemonte;OD:229;1
96;230;OVADA;8.635638;44.647301;193;Piemonte;OD:230;1
97;231;PARETO;8.389323;44.527308;497;Piemonte;OD:231;1
98;234;PIVERONE;8.03351;45.430487;244;Piemonte;OD:234;1
