SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
1;1;ADELFIA;16.8666166667;41.0002861111;153;0;1;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
2;2;ALBERONA;15.1233583333;41.4309333333;744;0;2;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
3;3;ALTAMURA;16.5534444444;40.8231388889;482;0;3;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
4;4;ANDRETTA;15.332625;40.9283111111;890;0;4;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
5;5;ANDRIA;16.2942333333;41.220475;162;0;5;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
6;6;ANZANO_DI_PUGLIA;15.2810194444;41.1242583333;760;0;6;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
7;7;APRICENA;15.4482388889;41.7813694444;73;0;7;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
8;8;ASCOLI_SATRIANO;15.5645722222;41.2012111111;437;0;8;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
9;9;ATELLA;15.6523611111;40.8726777778;495;0;9;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
10;10;AVETRANA;17.7279111111;40.3435916667;72;0;10;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
11;11;BARI_(FACOLTA_DINGEGNERIA);16.8779194444;41.1064833333;23;0;11;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
12;12;BARI_(OSSERVATORIO);16.8718361111;41.1172611111;34;0;12;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
13;13;BARI_(UFFICIO_IDROGRAFICO);16.8820027778;41.1198194444;17;0;13;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
14;14;BARLETTA;16.2747583333;41.3133944444;30;0;14;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
15;15;BICCARI;15.1900027778;41.3920166667;470;0;15;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
16;16;BISACCIA;15.3795416667;41.0070111111;900;0;16;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
17;17;BISCEGLIE;16.4967666667;41.238175;32;0;17;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
18;18;BITONTO;16.6941361111;41.1091472222;126;0;18;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
19;19;BORGO_LIBERTA;15.7155805556;41.1889083333;252;0;19;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
20;20;BOSCO_UMBRA;15.9947194444;41.8170361111;798;0;20;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
21;21;BOVINO;15.3375083333;41.2449861111;620;0;21;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
22;22;BRINDISI;17.9269444444;40.6447222222;19;0;22;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
23;23;CAGNANO_VARANO;15.7695666667;41.8262277778;181;0;23;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
24;24;CALITRI;15.4074333333;40.9298694444;706;0;24;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
25;25;CANALE_DELL_ASSO;18.0375388889;40.1841611111;35;0;25;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
26;26;CANDELA;15.5163916667;41.1329055556;475;0;26;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
27;27;CANOSA_DI_PUGLIA;16.0619777778;41.2240277778;154;0;27;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
28;28;CARLANTINO;14.9794611111;41.5907861111;582;0;28;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
29;29;CASALNUOVO_MONTEROTARO;15.1;41.6166666667;417;0;29;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
30;30;CASAMASSIMA;16.9179527778;40.9540083333;229;0;30;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
31;31;CASSANO_MURGE;16.7709222222;40.8897222222;380;0;31;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
32;32;CASTEL_DEL_MONTE;16.273875;41.0785027778;543;0;32;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
33;33;CASTELLANA_GROTTE;17.1654083333;40.8814805556;290;0;33;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
34;34;CASTELLANETA;16.932325;40.6288888889;236;0;34;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
35;35;CASTELLUCCIO_DEI_SAURI;15.4762083333;41.3026555556;284;0;35;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
36;36;CEGLIE_MESSAPICA;17.5182027778;40.6452305556;286;0;36;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
37;37;CELENZA_VALFORTORE;14.9994027778;41.5649972222;592;0;37;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;CELLINO_SAN_MARCO;17.9666666667;40.4666666667;65;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
38;38;CERIGNOLA;15.9050277778;41.2634416667;134;0;38;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
39;39;COLLEPASSO;18.1676194444;40.0725666667;120;0;39;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
40;40;CONVERSANO;17.1140694444;40.9631777778;212;0;40;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
41;41;COPERTINO;18.0515861111;40.2684027778;48;0;41;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
42;42;CORATO;16.4133194444;41.1527833333;249;0;42;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
43;43;CORIGLIANO_D_OTRANTO;18.2557305556;40.1641277778;105;0;43;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
44;44;CRISPIANO;17.2358083333;40.5990027778;264;0;44;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
45;45;DELICETO;15.3890777778;41.2220472222;573;0;45;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
46;46;DIGA_CELONE;15.4360361111;41.4243805556;170;0;46;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
47;47;DIGA_OSENTO;15.5004638889;41.0033722222;503;0;47;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
48;48;DIGA_RENDINA;15.7943916667;41.0497722222;214;0;48;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
49;49;FAETO;15.1631972222;41.3220694444;776;0;49;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
50;50;FASANO;17.3583333333;40.8380388889;121;0;50;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
51;51;FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);15.5012777778;41.4602277778;84;0;51;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
52;52;FOGGIA_(OSSERVATORIO);15.5427055556;41.4607444444;82;0;52;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
53;53;FONTE_ROSA;15.7743;41.434275;25;0;53;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
54;54;FORENZA;15.8481472222;40.8586277778;753;0;54;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;FORTORE_A_RIPALTA;15.2666638889;41.8597583333;19;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
55;55;GALATINA;18.1715055556;40.1720138889;84;0;55;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
56;56;GALLIPOLI;17.9944777778;40.0545055556;31;0;56;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
57;57;GINOSA;16.7574861111;40.5767722222;272;0;57;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
58;58;GINOSA_MARINA;16.8844388889;40.4266027778;20;0;58;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
59;59;GIOIA_DEL_COLLE;16.9230694444;40.8005027778;377;0;59;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
60;60;GIOVINAZZO;16.6711055556;41.1854555556;25;0;60;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;GRAVINA_DI_PUGLIA;16.4138916667;40.8251861111;401;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
61;61;GROTTAGLIE;17.4413722222;40.5393361111;140;0;61;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
62;62;GRUMO_APPULA;16.7103611111;41.0117;191;0;62;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;ISOLE_TREMITI;15.5114944444;42.1251638889;35;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
63;63;LACEDONIA;15.4258194444;41.0533444444;717;0;63;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
64;64;LAGOPESOLE;15.7358388889;40.8030388889;782;0;64;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;LATERZA;16.8;40.6166666667;347;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
65;65;LATIANO;17.7098194444;40.5485638889;107;0;65;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
66;66;LAVELLO;15.7951944444;41.0507777778;328;0;66;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
67;67;LECCE;18.1675;40.3582944444;50;0;67;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
68;68;LESINA;15.3532472222;41.862225;13;0;68;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
69;69;LIZZANO;17.4487333333;40.3873638889;63;0;69;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
70;70;LOCONIA;15.9405055556;41.1606083333;102;0;70;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
71;71;LOCOROTONDO;17.33825;40.7533972222;404;0;71;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
72;72;LUCERA;15.3356722222;41.5106611111;226;0;72;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
73;73;MAGLIE;18.2935944444;40.1189861111;102;0;73;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
74;74;MANDURIA;17.6351555556;40.39795;81;0;74;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
75;75;MANFREDONIA-BONIFICA_SIPONTINA;15.8802083333;41.5831138889;2;0;75;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
76;76;MARTINA_FRANCA;17.3452805556;40.6927555556;439;0;76;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
77;77;MASSAFRA;17.1084166667;40.5755444444;110;0;77;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
81;81;MASSERIA_MODESTI;16.4055555556;40.9894444444;501;0;81;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
82;82;MASSERIA_MONTERUGA;17.8287888889;40.3467694444;92;0;82;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
84;84;MASSERIA_S._CHIARA;16.1344194444;41.3363916667;9;0;84;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
85;85;MELENDUGNO;18.3332861111;40.2692972222;50;0;85;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
86;86;MELFI;15.6272194444;40.989125;533;0;86;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
87;87;MERCADANTE;16.7005555556;40.8896638889;393;0;87;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;MESAGNE;17.7833333333;40.5590583333;72;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
88;88;MINERVINO_DI_LECCE;18.4196;40.0912666667;104;0;88;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
89;89;MINERVINO_MURGE;16.0840111111;41.0750277778;454;0;89;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;MONOPOLI;17.3122222222;40.9388888889;14;0;NA;NA;16;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
92;92;MONTE_S._ANGELO;15.9617944444;41.7055333333;817;0;92;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
93;93;MONTE_VULTURE;15.6293583333;40.9522055556;1264;0;93;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
90;90;MONTELEONE_DI_PUGLIA;15.2587305556;41.1637888889;844;0;90;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
91;91;MONTEMILONE;15.9656472222;41.0251055556;343;0;91;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
94;94;MONTICCHIO_BAGNI;15.6067194444;40.9363722222;747;0;94;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
95;95;MONTURSI;16.8829861111;40.7598361111;387;0;95;NA;16;NA ** Serie fornita da Centro Funzionale Puglia
