SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
577;1;Sarcidano (Colonia Penale);9.1448;39.8099;682;1;OD:001;NA;20;NA
578;2;Is Acquas (Sarcidano);9.1155;39.762;430;1;OD:002;NA;20;NA
579;3;Isili;9.1065;39.7399;506;1;OD:003;NA;20;NA
580;4;Gergei;9.1008;39.6998;356;1;OD:004;NA;20;NA
581;6;Villamar F.C.;8.9598;39.6181;108;1;OD:006;NA;20;NA
582;7;Lunamatrona F.C.;8.8973;39.6513;186;1;OD:007;NA;20;NA
583;8;Mandas F.C.;9.1307;39.6606;483;1;OD:008;NA;20;NA
584;9;Segariu;8.9829;39.5629;135;1;OD:009;NA;20;NA
585;14;Sanluri (O.N.C.);8.8498;39.5273;63;1;OD:014;NA;20;NA
586;15;Monti Mannu (Caserma);8.6637;39.3954;447;1;OD:015;NA;20;NA
587;16;Villacidro F.C.;8.7422;39.463;192;1;OD:016;NA;20;NA
588;19;Nuraminis;9.0134;39.4427;99;1;OD:019;NA;20;NA
589;20;Villasor FF.SS.;8.9432;39.3813;26;1;OD:020;NA;20;NA
590;24;Vallermosa;8.7956;39.3632;71;1;OD:024;NA;20;NA
591;25;Gesico F.C.;9.129;39.6011;365;1;OD:025;NA;20;NA
592;26;Guasila;9.0466;39.5622;192;1;OD:026;NA;20;NA
593;27;Senorbi' F.C.;9.1342;39.5311;189;1;OD:027;NA;20;NA
594;30;S.Andrea Frius;9.1686;39.4786;305;1;OD:030;NA;20;NA
595;31;Barrali;9.0984;39.4845;138;1;OD:031;NA;20;NA
596;32;Donori F.C.;9.1198;39.4279;150;1;OD:032;NA;20;NA
597;34;Decimomannu;8.9606;39.3094;11;1;OD:034;NA;20;NA
598;35;Decimomannu (Viv.Forest.);8.9707;39.2988;4;1;OD:035;NA;20;NA
599;36;Bellicai (Privata);8.4941;39.3338;386;1;OD:036;NA;20;NA
600;37;Punta Gennarta (Diga);8.5495;39.3318;303;1;OD:037;NA;20;NA
601;38;Iglesias;8.5386;39.31;197;1;OD:038;NA;20;NA
602;42;S.Giovanni (Domusnovas);8.6259;39.3372;329;1;OD:042;NA;20;NA
