SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
1;1010;Lentina;12.674973;38.052187000000004;113;1;OD:1010;NA;19;NA
2;1030;Trapani;12.506774;38.013603;2;1;OD:1030;NA;19;NA
3;1040;Castellammare del Golfo;12.885201;38.020576;61;1;OD:1040;NA;19;NA
4;1050;San Vito Lo Capo;12.732357;38.187465;9;1;OD:1050;NA;19;NA
5;1060;Fastaia;12.741669;37.929297;226;1;OD:1060;NA;19;NA
6;1080;Borgo Fazio;12.663609;37.85613;176;1;OD:1080;NA;19;NA
7;1100;Birgi Nuovo;12.495327;37.883963;21;1;OD:1100;NA;19;NA
8;1110;Ciavolo;12.550884;37.759824;98;1;OD:1110;NA;19;NA
9;1120;Marsala;12.456187;37.810158;5;1;OD:1120;NA;19;NA
10;1140;Mazara del Vallo;12.599055;37.656656;8;1;OD:1140;NA;19;NA
11;1150;Salemi;12.80567;37.828797;327;1;OD:1150;NA;19;NA
12;1160;Diga Trinità;12.752419;37.691296;138;1;OD:1160;NA;19;NA
13;1180;Partanna;12.891589;37.729407;426;1;OD:1180;NA;19;NA
14;1190;Castelvetrano;12.800031;37.691017;174;1;OD:1190;NA;19;NA
15;1240;Maganoce Diga;13.288741;37.963727;701;1;OD:1240;NA;19;NA
16;1270;Corleone;13.301266;37.814435;629;1;OD:1270;NA;19;NA
17;130;Montalbano Elicona;15.016871;38.022565;946;1;OD:130;NA;19;NA
18;1300;Roccamena;13.153068;37.833963;471;1;OD:1300;NA;19;NA
19;1340;Menfi;12.962563;37.600933;121;1;OD:1340;NA;19;NA
20;1370;Diga Arancio;13.061259;37.625709;184;1;OD:1370;NA;19;NA
21;1390;Caltabellotta;13.215319;37.576012;736;1;OD:1390;NA;19;NA
22;1400;Sciacca;13.126871;37.511873;110;1;OD:1400;NA;19;NA
23;1410;Prizzi;13.420185;37.718879;890;1;OD:1410;NA;19;NA
24;1420;Piano del Leone;13.465549;37.670792;876;1;OD:1420;NA;19;NA
25;1430;Palazzo Adriano;13.378685;37.685958;620;1;OD:1430;NA;19;NA
26;1455;Bisacquino;13.257793;37.698209;590;1;OD:1455;NA;19;NA
27;1460;Ribera;13.272236;37.50326;216;1;OD:1460;NA;19;NA
