SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
4;TOS01000571;Vallucciole;11.657476;43.842022;750;Toscana;OD:TOS01000571;1
5;TOS01000591;Montemignaio;11.620676;43.740236;742;Toscana;OD:TOS01000591;1
6;TOS01000601;Ortignano;11.751541;43.681925;428;Toscana;OD:TOS01000601;1
7;TOS01000611;Camaldoli;11.822053;43.79558;924;Toscana;OD:TOS01000611;1
8;TOS01000621;Badia Prataglia;11.876816;43.7942;935;Toscana;OD:TOS01000621;1
9;TOS01000626;Bibbiena;11.830949;43.714149;397;Toscana;OD:TOS01000626;1
10;TOS01000639;La Verna;11.931335;43.706911;1053;Toscana;OD:TOS01000639;1
11;TOS01000651;Salutio;11.815369;43.621303;335;Toscana;OD:TOS01000651;1
12;TOS01000701;Capezzine;11.932118;43.182868;324;Toscana;OD:TOS01000701;1
13;TOS01000721;Bettolle;11.803501;43.202908;281;Toscana;OD:TOS01000721;1
14;TOS01000741;Monte S.Savino;11.742346;43.339127;283;Toscana;OD:TOS01000741;1
15;TOS01000751;Cortona;11.996448000000001;43.268995;485;Toscana;OD:TOS01000751;1
16;TOS01000761;Castiglion Fiorentino;11.928964;43.342826;281;Toscana;OD:TOS01000761;1
17;TOS01000771;Arezzo;11.89285;43.471577;291;Toscana;OD:TOS01000771;1
18;TOS01000799;Laterina;11.716307;43.508954;214;Toscana;OD:TOS01000799;1
19;TOS01000811;Badia Agnano;11.649081;43.436499;265;Toscana;OD:TOS01000811;1
20;TOS01000831;Nusenna in Chianti;11.531117;43.45024;479;Toscana;OD:TOS01000831;1
21;TOS01000861;Villa dell'Olio;11.604733;43.591795;380;Toscana;OD:TOS01000861;1
22;TOS01000869;Renacci (Fattoria);11.523017;43.589701;173;Toscana;OD:TOS01000869;1
23;TOS01000881;Pian di Sco';11.55515;43.649965;470;Toscana;OD:TOS01000881;1
24;TOS01000891;Il Palagio;11.429856;43.614937;293;Toscana;OD:TOS01000891;1
25;TOS01000901;Vallombrosa;11.556821;43.731367;1050;Toscana;OD:TOS01000901;1
26;TOS01000911;Cavallina;11.23742;43.983567;255;Toscana;OD:TOS01000911;1
27;TOS01000916;Monte di Fo';11.280845;44.079632;792;Toscana;OD:TOS01000916;1
28;TOS01000921;Mangona;11.197975;44.051395;552;Toscana;OD:TOS01000921;1
29;TOS01000925;Marcoiano;11.304825;44.054421;582;Toscana;OD:TOS01000925;1
30;TOS01000926;Le Croci (Barberino);11.271917;44.009686;387;Toscana;OD:TOS01000926;1
31;TOS01000931;Ponte a Olmo;11.304384;44.049072;506;Toscana;OD:TOS01000931;1
32;TOS01000941;Vaglia;11.280048;43.912891;304;Toscana;OD:TOS01000941;1
33;TOS01000961;S. Agata di Mugello;11.33531;44.021705;337;Toscana;OD:TOS01000961;1
34;TOS01000979;Razzuolo;11.467726;44.031584;775;Toscana;OD:TOS01000979;1
35;TOS01000991;Ronta;11.436408;44.009048;457;Toscana;OD:TOS01000991;1
36;TOS01000999;Borgo S. Lorenzo;11.39051;43.957877;194;Toscana;OD:TOS01000999;1
37;TOS01001011;Villore;11.546251;43.966733;513;Toscana;OD:TOS01001011;1
38;TOS01001029;Dicomano;11.5279;43.892594;293;Toscana;OD:TOS01001029;1
39;TOS01001041;Consuma;11.585201;43.784466;908;Toscana;OD:TOS01001041;1
40;TOS01001059;S. Brigida all'Opaco;11.39838;43.854377;463;Toscana;OD:TOS01001059;1
41;TOS01001095;Firenze Genio Civile;11.258303;43.779406;51;Toscana;OD:TOS01001095;1
42;TOS01001096;Firenze Universita';11.25114;43.798788;86;Toscana;OD:TOS01001096;1
43;TOS01001102;Cercina;11.261496;43.844258;349;Toscana;OD:TOS01001102;1
44;TOS01001103;Caldine;11.340546;43.845709;469;Toscana;OD:TOS01001103;1
45;TOS01001115;Lamole;11.356912;43.548568;562;Toscana;OD:TOS01001115;1
46;TOS01001129;Ferrone;11.259984;43.655384;188;Toscana;OD:TOS01001129;1
47;TOS01001136;Ugolino;11.29777;43.698928;176;Toscana;OD:TOS01001136;1
48;TOS01001141;Antella;11.329965;43.730104;162;Toscana;OD:TOS01001141;1
49;TOS01001147;S. Colombano;11.127037;43.780686;34;Toscana;OD:TOS01001147;1
50;TOS01001151;Cantagallo;11.083228;44.023971;494;Toscana;OD:TOS01001151;1
51;TOS01001161;Gavigno;11.090323;44.070043;815;Toscana;OD:TOS01001161;1
52;TOS01001171;Vernio;11.156912;44.04747;316;Toscana;OD:TOS01001171;1
54;TOS01001189;Le Croci Calenzano;11.214416;43.946505;416;Toscana;OD:TOS01001189;1
55;TOS01001205;Prato Universita';11.099213;43.885556;64;Toscana;OD:TOS01001205;1
56;TOS01001212;Capalle;11.139133;43.828851;41;Toscana;OD:TOS01001212;1
57;TOS01001215;S. Giusto;11.193765;43.759952;39;Toscana;OD:TOS01001215;1
58;TOS01001225;Case Passerini;11.17746;43.814406;35;Toscana;OD:TOS01001225;1
59;TOS01001249;Cireglio;10.854748;43.995497;708;Toscana;OD:TOS01001249;1
60;TOS01001253;Montagnana;10.823039;43.953666;369;Toscana;OD:TOS01001253;1
61;TOS01001263;Baggio;10.964162;43.99124;418;Toscana;OD:TOS01001263;1
62;TOS01001269;La Ferruccia;11.003848;43.884551;40;Toscana;OD:TOS01001269;1
63;TOS01001273;Fattoria Iavello;11.071435;43.963008;642;Toscana;OD:TOS01001273;1
64;TOS01001284;Radda in Chianti;11.379111;43.486026;464;Toscana;OD:TOS01001284;1
65;TOS01001291;S. Donato in Poggio;11.232544;43.538057;367;Toscana;OD:TOS01001291;1
66;TOS01001311;Tenuta del Corno;11.147281;43.622893;305;Toscana;OD:TOS01001311;1
67;TOS01001371;Vinci;10.928189;43.788597;90;Toscana;OD:TOS01001371;1
68;TOS01001379;Simignano;11.168881;43.293748;453;Toscana;OD:TOS01001379;1
69;TOS01001391;Casole d'Elsa;11.044005;43.343321;321;Toscana;OD:TOS01001391;1
70;TOS01001419;S. Gimignano;11.042352;43.47229;226;Toscana;OD:TOS01001419;1
71;TOS01001445;Poggio Aglione;10.922167;43.531901;425;Toscana;OD:TOS01001445;1
72;TOS01001491;S. Miniato (Cimitero);10.831479;43.684031;42;Toscana;OD:TOS01001491;1
73;TOS01001521;Marti;10.747468;43.64947;95;Toscana;OD:TOS01001521;1
74;TOS01001561;Serra Pistoiese;10.75975;43.975617;700;Toscana;OD:TOS01001561;1
75;TOS01001601;Montecatini Terme;10.773986;43.896797;120;Toscana;OD:TOS01001601;1
76;TOS01001629;Castelmartini;10.829129;43.817839;22;Toscana;OD:TOS01001629;1
77;TOS01001634;S. Baronto;10.939066;43.835141;338;Toscana;OD:TOS01001634;1
78;TOS01001664;Volterra;10.862233;43.408995;372;Toscana;OD:TOS01001664;1
79;TOS01001679;La Madonnina;10.909972;43.455625;271;Toscana;OD:TOS01001679;1
80;TOS01001711;Orciatico;10.723384;43.435585;276;Toscana;OD:TOS01001711;1
81;TOS01001751;Ghizzano di Peccioli;10.790457;43.536004;159;Toscana;OD:TOS01001751;1
82;TOS01001781;Casciana Terme;10.618437;43.526575;97;Toscana;OD:TOS01001781;1
83;TOS01001801;Monte Serra;10.555;43.751788;727;Toscana;OD:TOS01001801;1
