SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
6507;1;Pergine;11.236686;46.062297;475;0;1;32;4;NA
6508;3;Tenna;11.263616;46.015757;569;0;3;32;4;NA
6509;9;Centa;11.234123;45.970184;815;0;9;32;4;NA
6510;10;Levico (Terme);11.304882;46.010585;502;0;10;32;4;NA
6511;14;Pontarso;11.494414;46.115589;925;0;14;32;4;NA
6512;15;Bieno;11.553742;46.079537;806;0;15;32;4;NA
6513;17;Costabrunella;11.584905;46.131138;2030;0;17;32;4;NA
6514;18;Pieve Tesino (O.P. Enel);11.619781;46.070275;775;0;18;32;4;NA
6515;21;S. Martino di Castrozza;11.801413;46.261299;1450;0;21;32;4;NA
6516;24;Passo Cereda;11.906843;46.194016;1375;0;24;32;4;NA
6517;26;Tonadico;11.836006;46.179227;744;0;26;32;4;NA
6518;27;Val Noana (Diga);11.838542;46.138635;1017;0;27;32;4;NA
6519;29;Caoria (Centrale);11.661763;46.204444;908;0;29;32;4;NA
6520;30;Canal San Bovo;11.73469;46.149827;757;0;30;32;4;NA
6521;32;Lavarone;11.254037;45.939893;1155;0;32;32;4;NA
6522;38;San Michele All'Adige;11.132434;46.192616;205;0;38;32;4;NA
6523;63;Pian Palu' (Diga);10.61394;46.336534;1795;0;63;32;4;NA
6524;64;Peio;10.675627;46.363996;1565;0;64;32;4;NA
6525;65;Careser (Diga);10.699326;46.42264;2600;0;65;32;4;NA
6526;68;Cogolo Pont (Centrale);10.688066;46.362229;1185;0;68;32;4;NA
6527;69;Passo Tonale T0069;10.611037;46.263316;1795;0;69;32;4;NA
6528;71;Mezzana;10.795807;46.313429;905;0;71;32;4;NA
6529;74;Male';10.916104;46.355098;735;0;74;32;4;NA
6530;75;Somrabbi (Piazzola di Rabbi);10.803592;46.410351;1352;0;75;32;4;NA
6531;76;S. Bernardo di Rabbi;10.844362;46.400503;1098;0;76;32;4;NA
6532;80;Fondo;11.138006;46.439668;987;0;80;32;4;NA
6533;82;Passo Mendola;11.189417;46.419238;1320;0;82;32;4;NA
6534;83;Cles;11.031223;46.362003;665;0;83;32;4;NA
6535;84;Santa Giustina;11.061704;46.34568;532;0;84;32;4;NA
6536;86;Denno;11.050831;46.273139;426;0;86;32;4;NA
6537;88;Tres (Diga);11.099216;46.326476;830;0;88;32;4;NA
6538;90;Mezzolombardo;11.093366;46.214254;225;0;90;32;4;NA
6539;92;Pian Fedaia (Diga);11.862414;46.461795;2040;0;92;32;4;NA
6540;94;Passo Costalunga;11.613467;46.404425;1750;0;94;32;4;NA
6541;96;Pezze' di Moena (Diga);11.664561;46.383662;1205;0;96;32;4;NA
6542;98;Moena;11.659198;46.375264;1200;0;98;32;4;NA
6543;99;Paganella;11.037444;46.143291;2125;0;99;32;4;NA
6544;101;Zambana;11.079707;46.156372;201;0;101;32;4;NA
6545;102;Predazzo (Centrale);11.595046;46.310039;1005;0;102;32;4;NA
6546;103;Passo Rolle;11.787638;46.297214;1995;0;103;32;4;NA
