SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
3552;3552;AMELIA;12.417;42.556;333;1;3552;NA;10;NA
4589;4589;ABETO;13.063;42.837;899;1;4589;NA;10;NA
468;468;ALLERONA;12.034;42.772;153;1;468;NA;10;NA
4335;4335;ANCAIANO;12.774;42.648;579;1;4335;NA;10;NA
1090;1090;ARMENZANO;12.702;43.072;614;1;1090;NA;10;NA
4849;4849;ARRONE;12.761;42.582;255;1;4849;NA;10;NA
4851;4851;ATTIGLIANO;12.291;42.52;80;1;4851;NA;10;NA
4957;4957;AVIGLIANO UMBRO;12.437;42.677;422;1;4957;NA;10;NA
811;811;AZZANO;12.757;42.812;235;1;811;NA;10;NA
796;796;BASTARDO;12.558;42.865;321;1;796;NA;10;NA
270;270;BASTIA UMBRA;12.561;43.054;204;1;270;NA;10;NA
3543;3543;BEVAGNA;12.639;42.944;205;1;3543;NA;10;NA
4960;4960;BRANCA;12.695;43.266;413;1;4960;NA;10;NA
4850;4850;CALVI DELL'UMBRIA;12.555;42.417;342;1;4850;NA;10;NA
4958;4958;CAMPOGRANDE;12.028;42.939;492;1;4958;NA;10;NA
3545;3545;CANNARA;12.584;42.996;190;1;3545;NA;10;NA
3546;3546;CANTALUPO;12.597;42.956;200;1;3546;NA;10;NA
1480;1480;CARESTELLO;12.534;43.286;494;1;1480;NA;10;NA
792;792;CASA CASTALDA;12.659;43.18;663;1;792;NA;10;NA
4963;4963;CASANUOVA;12.596;43.188;334;1;4963;NA;10;NA
4973;4973;CASCIA;13.02;42.718;626;1;4973;NA;10;NA
795;795;CASIGLIANO;12.496;42.716;264;1;795;NA;10;NA
4072;4072;CASSA MOLINO DI BAGNI;12.122;42.789;191;1;4072;NA;10;NA
4956;4956;CASTAGNACUPA;12.654;42.671;741;1;4956;NA;10;NA
4854;4854;CASTELLUCCIO;13.214;42.829;1337;1;4854;NA;10;NA
457;457;CASTIGLIONE DEL LAGO;12.044;43.123;260;1;457;NA;10;NA
1653;1653;CERBARA;12.218;43.509;318;1;1653;NA;10;NA
265;265;CITTA' DI CASTELLO;12.251;43.462;306;1;265;NA;10;NA
775;775;COLLEPEPE;12.406;42.93;175;1;775;NA;10;NA
269;269;COMPIGNANO;12.283;42.948;211;1;269;NA;10;NA
4953;4953;COMPRESSO;12.338;43.181;453;1;4953;NA;10;NA
636;636;CORBARA;12.237;42.698;151;1;636;NA;10;NA
4852;4852;CORCIANO;12.307;43.107;283;1;4852;NA;10;NA
4847;4847;FICULLE;12.065;42.842;431;1;4847;NA;10;NA
1520;1520;FOLIGNO;12.679;42.953;222;1;1520;NA;10;NA
1519;1519;FORCA CANAPINE;13.189;42.761;1540;1;1519;NA;10;NA
797;797;FORSIVO;13.014;42.799;792;1;797;NA;10;NA
3551;3551;GUALDO TADINO;12.78;43.24;552;1;3551;NA;10;NA
301;301;GUBBIO;12.563;43.341;449;1;301;NA;10;NA
742;742;ISOLA POLVESE 1;12.143;43.115;263;1;742;NA;10;NA
752;752;ISOLA POLVESE 2;12.137;43.118;285;1;752;NA;10;NA
1092;1092;LA BOLSELLA;12.667;43.038;982;1;1092;NA;10;NA
4961;4961;LA BRUNA;12.688;42.82;238;1;4961;NA;10;NA
4510;4510;LA CIMA;12.122;43.234;694;1;4510;NA;10;NA
4590;4590;LISCIANO NICCONE;12.143;43.243;323;1;4590;NA;10;NA
802;802;LUPO;12.173;43.492;287;1;802;NA;10;NA
807;807;MARSCIANO;12.337;42.916;168;1;807;NA;10;NA
4066;4066;MASSA MARTANA;12.524;42.774;320;1;4066;NA;10;NA
5122;5122;MELEZZOLE;12.348;42.681;506;1;5122;NA;10;NA
782;782;MERCATELLO;12.266;42.974;215;1;782;NA;10;NA
1685;1685;MIGIANELLA;12.249;43.303;276;1;1685;NA;10;NA
803;803;MOCAIANA;12.459;43.371;424;1;803;NA;10;NA
1079;1079;MOIANO 1;12.022;43.004;278;1;1079;NA;10;NA
1683;1683;MONTE CUCCO;12.729;43.375;1155;1;1683;NA;10;NA
