SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
1;100;Conegliano Veneto;12.28254;45.88066;71;1;OD:100;NA;5;NA
2;101;Porto Tolle - Pradon;12.36932;44.91663;2;1;OD:101;NA;5;NA
3;102;Castelfranco Veneto;11.94814;45.69427;51;1;OD:102;NA;5;NA
4;104;Villafranca Veronese;10.83289;45.37175;67;1;OD:104;NA;5;NA
5;105;Lonigo;11.3799;45.38992;31;1;OD:105;NA;5;NA
6;106;Montagnana;11.42161;45.24778;14;1;OD:106;NA;5;NA
7;108;Salizzole;11.09591;45.23938;22;1;OD:108;NA;5;NA
8;11;Malga Ciapela;11.9051;46.42785;1501;1;OD:11;NA;5;NA
9;110;Cittadella;11.79385;45.65573;49;1;OD:110;NA;5;NA
10;111;Legnaro;11.95239;45.34669;7;1;OD:111;NA;5;NA
11;112;Rosolina - Po di Tramontana;12.26199;45.07048;2;1;OD:112;NA;5;NA
12;113;Castelnovo Bariano;11.30257;45.03066;12;1;OD:113;NA;5;NA
13;114;Villadose;11.92263;45.0707;2;1;OD:114;NA;5;NA
14;115;Adria - Bellombra;12.00784;45.01509;1;1;OD:115;NA;5;NA
15;116;Frassinelle Polesine;11.67902;44.98979;6;1;OD:116;NA;5;NA
16;117;Sorga';11.00903;45.21726;23;1;OD:117;NA;5;NA
17;118;Bardolino - Calmasino;10.765930000000001;45.5177;161;1;OD:118;NA;5;NA
18;119;Roverchiara;11.25143;45.26514;19;1;OD:119;NA;5;NA
19;120;Dolc�;10.84901;45.5989;112;1;OD:120;NA;5;NA
20;121;Lusia;11.63388;45.09176;6;1;OD:121;NA;5;NA
21;122;Trebaseleghe;12.02596;45.60174;23;1;OD:122;NA;5;NA
22;123;Arcole;11.29606;45.37484;28;1;OD:123;NA;5;NA
23;124;Marano di Valpolicella;10.92363;45.5473;283;1;OD:124;NA;5;NA
24;125;San Pietro in Cariano;10.88834;45.50865;137;1;OD:125;NA;5;NA
25;126;Illasi;11.17178;45.45954;155;1;OD:126;NA;5;NA
26;127;Buttapietra;11.01065;45.35231;41;1;OD:127;NA;5;NA
27;128;Grezzana;11.01372;45.50916;176;1;OD:128;NA;5;NA
28;129;Castelnuovo del Garda;10.77261;45.45398;122;1;OD:129;NA;5;NA
29;130;Montecchia di Crosara;11.28337;45.46737;61;1;OD:130;NA;5;NA
30;131;Vangadizza (Legnago);11.28809;45.15687;14;1;OD:131;NA;5;NA
31;132;Pescul;12.06916;46.43658;1477;1;OD:132;NA;5;NA
